Date	Open_TATASTEEL.NS	High_TATASTEEL.NS	Low_TATASTEEL.NS	Close_TATASTEEL.NS	Volume_TATASTEEL.NS	AdjClose_TATASTEEL.NS	Return_TATASTEEL.NS
2010-02-04	596.0	596.0	574.0	577.7	6958900	499.7075	-0.0378081610435
2010-02-05	540.0	561.5	540.0	550.2	8789400	475.9201	-0.0476026475488
2010-02-08	550.0	565.9	528.1	533.85	14263900	461.7774	-0.0297165427558
2010-02-09	531.0	542.2	530.0	533.55	7347200	461.5179	-0.000561959073788
2010-02-10	536.0	544.7	519.3	522.45	6927700	451.9165	-0.0208039601498
2010-02-11	524.85	538.35	524.85	533.95	6424700	461.864	0.0220118097038
2010-02-15	537.5	544.5	530.6	539.9	7261400	467.0107	0.0111433235758
2010-02-16	542.0	552.0	540.05	550.1	6424900	475.8336	0.0188922866221
2010-02-17	545.1	586.3	545.1	584.35	9588100	505.4597	0.062261471237
2010-02-18	584.0	587.0	570.1	577.15	4882500	499.2317	-0.0123214570815
2010-02-19	568.0	572.4	556.55	560.75	7575100	485.0458	-0.0284154632008
2010-02-22	568.0	580.4	567.0	572.75	5758600	495.4258	0.0214000409858
2010-02-23	567.1	580.4	565.1	575.5	5695200	497.8045	0.00480132443647
2010-02-24	572.0	574.8	563.55	567.3	5146000	490.7115	-0.0142485654509
2010-02-25	569.0	574.0	560.05	569.25	4366100	492.3983	0.00343745765078
2010-02-26	570.0	592.3	564.0	574.35	5474100	496.8097	0.00895900737269
2010-03-02	581.15	610.75	581.15	608.9	6672700	526.6953	0.0601550251535
2010-03-03	610.0	617.3	604.3	608.2	6214100	526.0898	-0.00114962104275
2010-03-04	610.0	620.6	603.1	617.55	7308300	534.1775	0.0153732309579
