Date	Open_GSPC	High_GSPC	Low_GSPC	Close_GSPC	Volume_GSPC	AdjClose_GSPC	Return_GSPC	sp500_RoC6	sp500_RoC14	sp500_MA6	sp500_MA14	sp500_MoM6	sp500_MoM14	sp500_EMA6	sp500_EMA14	sp500_WIILR6	sp500_WIILR14	sp500_K%6	sp500_K%14	sp500_OBV	sp500_RSI6	sp500_RSI14
2010-01-04	1116.560059	1133.869995	1116.560059	1132.98999	3991400000	1132.98999	0.000417552171345	0.00239586358616	0.00544793535457	1580.47534399	1580.65984178	3.23087914932	7.3694281527	1132.98999	1132.98999	0.382607800573	0.364468687623	0.617392199427	0.635531312377	3991400000.0	0.563444286039	0.556657374736
2010-01-05	1132.660034	1136.630005	1129.660034	1136.52002	2491020000	1136.52002	0.00311567624706	0.00239586358616	0.00544793535457	1580.47534399	1580.65984178	3.23087914932	7.3694281527	1132.98999	1132.98999	0.382607800573	0.364468687623	0.617392199427	0.635531312377	6482420000.0	0.563444286039	0.556657374736
2010-01-06	1135.709961	1139.189941	1133.949951	1137.140015	4972660000	1137.140015	0.000545520526774	0.00239586358616	0.00544793535457	1580.47534399	1580.65984178	3.23087914932	7.3694281527	1133.99857	1133.46066067	0.382607800573	0.364468687623	0.617392199427	0.635531312377	11455080000.0	0.563444286039	0.556657374736
2010-01-07	1136.27002	1142.459961	1131.319946	1141.689941	5270680000	1141.689941	0.00400120120652	0.00239586358616	0.00544793535457	1580.47534399	1580.65984178	3.23087914932	7.3694281527	1134.89612571	1133.95124124	0.382607800573	0.364468687623	0.617392199427	0.635531312377	16725760000.0	0.563444286039	0.556657374736
2010-01-08	1140.52002	1145.390015	1136.219971	1144.97998	4389590000	1144.97998	0.00288172723771	0.00239586358616	0.00544793535457	1580.47534399	1580.65984178	3.23087914932	7.3694281527	1136.8372158	1134.98306788	0.382607800573	0.364468687623	0.617392199427	0.635531312377	21115350000.0	0.563444286039	0.556657374736
2010-01-11	1145.959961	1149.73999	1142.02002	1146.97998	4255780000	1146.97998	0.00174675543235	0.00239586358616	0.00544793535457	1140.04998767	1580.65984178	3.23087914932	7.3694281527	1139.16371985	1136.31598949	0.382607800573	0.364468687623	0.617392199427	0.635531312377	25371130000.0	0.563444286039	0.556657374736
2010-01-12	1143.810059	1143.810059	1131.77002	1136.219971	4716160000	1136.219971	-0.00938116548468	0.00285084689936	0.00544793535457	1140.58831783	1580.65984178	3.229981	7.3694281527	1141.39693704	1137.7378549	0.407475802165	0.364468687623	0.592524197835	0.635531312377	20654970000.0	1.0	0.556657374736
2010-01-13	1137.310059	1148.400024	1133.180054	1145.680054	4170360000	1145.680054	0.00832592564948	0.00805972076057	0.00544793535457	1142.11499017	1580.65984178	9.160034	7.3694281527	1139.91780388	1137.53547038	0.202188490851	0.364468687623	0.797811509149	0.635531312377	24825330000.0	0.565252144051	0.556657374736
2010-01-14	1145.680054	1150.410034	1143.800049	1148.459961	3915200000	1148.459961	0.00242642524001	0.00995475126253	0.00544793535457	1144.00164783	1580.65984178	11.319946	7.3694281527	1141.56416106	1138.62141486	0.0694910935066	0.364468687623	0.930508906493	0.635531312377	28740530000.0	0.649283221554	0.556657374736
2010-01-15	1147.719971	1147.77002	1131.390015	1136.030029	4758730000	1136.030029	-0.0108231304722	-0.0049574860886	0.00544793535457	1143.05832917	1580.65984178	-5.659912	7.3694281527	1143.53438961	1139.93322101	0.753270754959	0.364468687623	0.246729245041	0.635531312377	23981800000.0	0.672350158484	0.556657374736
