Date	Open_AMZN	High_AMZN	Low_AMZN	Close_AMZN	Volume_AMZN	AdjClose_AMZN	Return_AMZN	amazon_RoC6	amazon_RoC14	amazon_MA6	amazon_MA14	amazon_MoM6	amazon_MoM14	amazon_EMA6	amazon_EMA14	amazon_WIILR6	amazon_WIILR14	amazon_K%6	amazon_K%14	amazon_OBV	amazon_RSI6	amazon_RSI14
2010-01-04	136.25	136.610001	133.139999	133.899994	7599900	133.899994	0.00116005314522	0.0068997726537	0.0160749581577	285.31666065	285.012736994	1.69680672721	3.865692	133.899994	133.899994	0.425542256069	0.412661671339	0.574457743931	0.587338328661	7599900.0	0.544428905894	0.543911840446
2010-01-05	133.429993	135.479996	131.809998	134.690002	8851900	134.690002	0.00589998532786	0.0068997726537	0.0160749581577	285.31666065	285.012736994	1.69680672721	3.865692	133.899994	133.899994	0.425542256069	0.412661671339	0.574457743931	0.587338328661	16451800.0	0.544428905894	0.543911840446
2010-01-06	134.600006	134.729996	131.649994	132.25	7178800	132.25	-0.0181156876069	0.0068997726537	0.0160749581577	285.31666065	285.012736994	1.69680672721	3.865692	134.125710571	134.0053284	0.425542256069	0.412661671339	0.574457743931	0.587338328661	9273000.0	0.544428905894	0.543911840446
2010-01-07	132.009995	132.320007	128.800003	130.0	11030200	130.0	-0.0170132325142	0.0068997726537	0.0160749581577	285.31666065	285.012736994	1.69680672721	3.865692	133.589793265	133.771284613	0.425542256069	0.412661671339	0.574457743931	0.587338328661	-1757200.0	0.544428905894	0.543911840446
2010-01-08	130.559998	133.679993	129.029999	133.520004	9830500	133.520004	0.0270769538462	0.0068997726537	0.0160749581577	285.31666065	285.012736994	1.69680672721	3.865692	132.564138047	133.268446665	0.425542256069	0.412661671339	0.574457743931	0.587338328661	8073300.0	0.544428905894	0.543911840446
2010-01-11	132.619995	132.800003	129.210007	130.309998	8779400	130.309998	-0.0240413863379	0.0068997726537	0.0160749581577	132.444999667	285.012736994	1.69680672721	3.865692	132.837242605	133.301987643	0.425542256069	0.412661671339	0.574457743931	0.587338328661	-706100.0	0.544428905894	0.543911840446
2010-01-12	128.990005	129.820007	126.550003	127.349998	9096300	127.349998	-0.0227150644266	-0.0489170746341	0.0160749581577	131.353333667	285.012736994	-6.549996	3.865692	132.115172718	132.903055691	1.18566009876	0.412661671339	-0.185660098761	0.587338328661	-9802400.0	0.352989757593	0.543911840446
2010-01-13	127.900002	129.710007	125.75	129.110001	10723200	129.110001	0.0138202043788	-0.0414284721742	0.0160749581577	130.4233335	285.012736994	-5.580001	3.865692	130.753694227	132.162647998	0.713325867109	0.412661671339	0.286674132891	0.587338328661	920800.0	0.284113798136	0.543911840446
2010-01-14	129.139999	130.380005	126.400002	127.349998	9774900	127.349998	-0.0136318099788	-0.0370510548204	0.0160749581577	129.6066665	285.012736994	-4.900002	3.865692	130.284067591	131.755628399	0.821826423976	0.412661671339	0.178173576024	0.587338328661	-8854100.0	0.327137676142	0.543911840446
2010-01-15	129.179993	129.649994	127.059998	127.139999	15376500	127.139999	-0.00164899099567	-0.0220000076923	0.0160749581577	129.129999667	285.012736994	-2.860001	3.865692	129.445761993	131.168211012	0.824716238715	0.412661671339	0.175283761285	0.587338328661	-24230600.0	0.341526619377	0.543911840446
2010-01-19	126.309998	128.0	124.330002	127.610001	8892600	127.610001	0.00369672804544	-0.0442630528981	0.0160749581577	128.144999167	285.012736994	-5.910003	3.865692	128.786972567	130.631116077	0.765447333938	0.412661671339	0.234552666062	0.587338328661	-15338000.0	0.393442704796	0.543911840446
2010-01-20	127.129997	129.199997	125.080002	125.779999	9074700	125.779999	-0.0143405844813	-0.0347632497086	0.0160749581577	127.389999333	285.012736994	-4.529999	3.865692	128.450694976	130.228300734	0.828807930483	0.412661671339	0.171192069517	0.587338328661	-24412700.0	0.215043606985	0.543911840446
2010-01-21	127.260002	128.149994	125.0	126.620003	9970600	126.620003	0.00667835909269	-0.00573219482893	0.0160749581577	127.2683335	285.012736994	-0.729995	3.865692	127.687638983	129.635193836	0.621487625709	0.412661671339	0.378512374291	0.587338328661	-14442100.0	0.248053700502	0.543911840446
