Date	Open_GDAXI	High_GDAXI	Low_GDAXI	Close_GDAXI	Volume_GDAXI	AdjClose_GDAXI	Return_GDAXI	frankfurt_RoC6	frankfurt_RoC14	frankfurt_MA6	frankfurt_MA14	frankfurt_MoM6	frankfurt_MoM14	frankfurt_EMA6	frankfurt_EMA14	frankfurt_WIILR6	frankfurt_WIILR14	frankfurt_K%6	frankfurt_K%14	frankfurt_OBV	frankfurt_RSI6	frankfurt_RSI14
2010-01-04	5975.52002	6048.299805	5974.430176	6048.299805	24260800	6048.299805	0.000394518002772	0.00230798146101	0.00527255012999	8101.31169411	8103.15566386	13.9189120567	31.6415484555	6048.299805	6048.299805	0.417899463694	0.406118064361	0.582100536306	0.593881935639	24260800.0	0.550116297875	0.544682629893
2010-01-05	6043.939941	6058.02002	6015.669922	6031.859863	27329600	6031.859863	-0.00271810963908	0.00230798146101	0.00527255012999	8101.31169411	8103.15566386	13.9189120567	31.6415484555	6048.299805	6048.299805	0.417899463694	0.406118064361	0.582100536306	0.593881935639	-3068800.0	0.550116297875	0.544682629893
2010-01-06	6032.390137	6047.569824	5997.089844	6034.330078	24605300	6034.330078	0.000409527916116	0.00230798146101	0.00527255012999	8101.31169411	8103.15566386	13.9189120567	31.6415484555	6043.60267871	6046.10781273	0.417899463694	0.406118064361	0.582100536306	0.593881935639	21536500.0	0.550116297875	0.544682629893
2010-01-07	6016.799805	6037.569824	5961.25	6019.359863	30059600	6019.359863	-0.00248084125437	0.00230798146101	0.00527255012999	8101.31169411	8103.15566386	13.9189120567	31.6415484555	6040.95336422	6044.5374481	0.417899463694	0.406118064361	0.582100536306	0.593881935639	-8523100.0	0.550116297875	0.544682629893
2010-01-08	6028.620117	6053.040039	5972.240234	6037.609863	31735200	6037.609863	0.00303188385732	0.00230798146101	0.00527255012999	8101.31169411	8103.15566386	13.9189120567	31.6415484555	6034.78379245	6041.18043676	0.417899463694	0.406118064361	0.582100536306	0.593881935639	23212100.0	0.550116297875	0.544682629893
2010-01-11	6057.930176	6094.259766	6031.140137	6040.5	27162500	6040.5	0.000478688929159	0.00230798146101	0.00527255012999	6035.32657867	8103.15566386	13.9189120567	31.6415484555	6035.59124118	6040.70436025	0.417899463694	0.406118064361	0.582100536306	0.593881935639	50374600.0	0.550116297875	0.544682629893
2010-01-12	6039.390137	6055.560059	5924.720215	5943.0	35242500	5943.0	-0.0161410479265	-0.0174098190227	0.00527255012999	6017.77661117	8103.15566386	-105.299805	31.6415484555	6036.9937437	6040.67711222	1.13720797013	0.406118064361	-0.137207970128	0.593881935639	15132100.0	0.429119112657	0.544682629893
2010-01-13	5937.169922	5974.439941	5925.240234	5963.140137	30161300	5963.140137	0.00338888389702	-0.0113927922002	0.00527255012999	6006.3233235	8103.15566386	-68.719726	31.6415484555	6010.13838835	6027.65349726	0.773386671291	0.406118064361	0.226613328709	0.593881935639	45293400.0	0.154801161856	0.544682629893
2010-01-14	5999.080078	6009.910156	5951.689941	5988.879883	33479000	5988.879883	0.00431647511355	-0.00753193716825	0.00527255012999	5998.748291	8103.15566386	-45.450195	31.6415484555	5996.71031654	6019.05171589	0.621565188644	0.406118064361	0.378434811356	0.593881935639	78772400.0	0.280055638464	0.544682629893
2010-01-15	5996.560059	6025.359863	5866.839844	5875.970215	46886700	5875.970215	-0.0188532196681	-0.0238214114563	0.00527255012999	5974.85001633	8103.15566386	-143.389648	31.6415484555	5994.47304981	6015.02880484	1.28754352428	0.406118064361	-0.287543524284	0.593881935639	31885700.0	0.373390897839	0.544682629893
2010-01-18	5897.629883	5922.930176	5877.649902	5918.549805	20918000	5918.549805	0.00724639309629	-0.0197197335869	0.00527255012999	5955.00667333	8103.15566386	-119.060058	31.6415484555	5960.61509701	5996.48765953	0.772623433579	0.406118064361	0.227376566421	0.593881935639	52803700.0	0.24157479498	0.544682629893
2010-01-19	5905.330078	5988.799805	5849.669922	5976.47998	29504500	5976.47998	0.0097879002304	-0.0105984637033	0.00527255012999	5944.33667	8103.15566386	-64.02002	31.6415484555	5948.59644215	5986.09594559	0.517895639767	0.406118064361	0.482104360233	0.593881935639	82308200.0	0.302723450975	0.544682629893
2010-01-20	5963.709961	5972.77002	5832.089844	5851.529785	32339400	5851.529785	-0.0209069879625	-0.0153912527343	0.00527255012999	5929.09163417	8103.15566386	-91.470215	31.6415484555	5956.56316725	5984.81381684	0.990966721247	0.406118064361	0.00903327875293	0.593881935639	49968800.0	0.410285674427	0.544682629893
2010-01-21	5878.240234	5908.850098	5742.450195	5746.970215	39063300	5746.970215	-0.0178687580585	-0.0362510216151	0.00527255012999	5893.06331383	5962.605678	-216.169922	31.6415484555	5926.55362946	5967.0426126	1.44041817474	0.406118064361	-0.44041817474	0.593881935639	10905500.0	0.380975495893	0.544682629893
2010-01-22	5735.680176	5740.870117	5639.490234	5695.319824	47739600	5695.319824	-0.00898741233514	-0.0490175232656	-0.0583601991271	5844.13663733	5937.39282221	-293.560059	-352.979981	5875.24408247	5937.69962625	1.16659158852	1.13396557367	-0.166591588521	-0.133965573665	-36834100.0	0.269378870984	0.265074312258
2010-01-25	5662.850098	5693.859863	5624.580078	5631.370117	33562000	5631.370117	-0.0112284663507	-0.0416271847967	-0.0663957311835	5803.36995433	5908.78641179	-244.600098	-400.489746	5823.83715148	5905.38231928	1.02104368001	1.01785545519	-0.0210436800145	-0.0178554551891	-70396100.0	0.203222630362	0.245317331901
2010-01-26	5593.939941	5675.959961	5574.459961	5668.930176	42243000	5668.930176	0.00666979051627	-0.0421758094845	-0.0605535158463	5761.76668283	5882.68641879	-249.619629	-365.399902	5768.8465702	5868.84735898	0.878232575799	0.905573736457	0.121767424201	0.0944262635433	-28153100.0	0.225550578755	0.229577790804
2010-01-27	5643.52002	5673.72998	5589.009766	5643.200195	38209400	5643.200195	-0.00453877190249	-0.0557652307237	-0.062491639736	5706.220052	5855.81787107	-333.279785	-376.159668	5740.299029	5842.19173458	0.834096973788	0.867756329766	0.165903026212	0.132243670234	-66362500.0	0.216727673576	0.264434297452
2010-01-28	5687.100098	5718.810059	5540.330078	5540.330078	44525700	5540.330078	-0.0182290390993	-0.0531826237641	-0.0823636830275	5654.35343417	5820.29788643	-311.199707	-497.279785	5712.556505	5815.65952931	1.08568672126	1.06565966873	-0.0856867212585	-0.0656596687257	-110888200.0	0.0919688244882	0.260815947256
2010-01-29	5566.029785	5657.870117	5556.189941	5608.790039	41892900	5608.790039	0.012356657462	-0.0240440042023	-0.0714692427779	5631.32340483	5789.46146064	-138.180176	-431.709961	5663.34895443	5778.9489358	0.814230008454	0.876410377557	0.185769991546	0.123589622443	-68995300.0	0.0972252951295	0.214521857551
2010-02-01	5587.5	5674.209961	5567.720215	5654.47998	30622000	5654.47998	0.00814613146192	-0.0071707727155	-0.0485478748107	5624.51676417	5768.85288779	-40.839844	-288.52002	5647.76069288	5756.26108289	0.430787474814	0.778448641947	0.569212525186	0.221551358053	-38373300.0	0.302723872456	0.269516040564
2010-02-02	5664.25	5723.200195	5624.609863	5709.660156	31530300	5709.660156	0.00975866502228	0.0139024850744	-0.0425078021271	5637.565104	5750.74717486	78.290039	-253.479981	5649.6804892	5742.69026917	0.0512657102983	0.650887258398	0.948734289702	0.349112741602	-6843000.0	0.440684552722	0.336942609809
2010-02-03	5715.160156	5733.709961	5656.899902	5672.089844	35285100	5672.089844	-0.00658013103644	0.000557365834805	-0.0528963754807	5638.09171533	5728.11931493	3.159668	-316.790039	5666.81753686	5738.28625408	0.279489901568	0.728347062232	0.720510098432	0.271652937768	-42128100.0	0.616680056276	0.362203085449
