Date	Open_FTSE	High_FTSE	Low_FTSE	Close_FTSE	Volume_FTSE	AdjClose_FTSE	Return_FTSE	london_RoC6	london_RoC14	london_MA6	london_MA14	london_MoM6	london_MoM14	london_EMA6	london_EMA14	london_WIILR6	london_WIILR14	london_K%6	london_K%14	london_OBV	london_RSI6	london_RSI14
2010-01-01	5412.899902	5412.899902	5412.899902	5412.899902	0	5412.899902	0.000136578913045	0.000705029829498	0.00141242872024	6097.91095255	6099.53093578	2.38917552108	4.80638830044	5412.899902	5412.899902	0.448426954969	0.434055223837	0.551573045031	0.565944776163	0.0	0.530162398049	0.523261145896
2010-01-04	5412.899902	5500.299805	5410.799805	5500.299805	750942000	5500.299805	0.0161465950936	0.000705029829498	0.00141242872024	6097.91095255	6099.53093578	2.38917552108	4.80638830044	5412.899902	5412.899902	0.448426954969	0.434055223837	0.551573045031	0.565944776163	750942000.0	0.530162398049	0.523261145896
2010-01-05	5500.299805	5536.399902	5480.700195	5522.5	1149301200	5522.5	0.00403617907879	0.000705029829498	0.00141242872024	6097.91095255	6099.53093578	2.38917552108	4.80638830044	5437.87130286	5424.5532224	0.448426954969	0.434055223837	0.551573045031	0.565944776163	1900243200.0	0.530162398049	0.523261145896
2010-01-06	5522.5	5536.5	5497.700195	5530.0	998295300	5530.0	0.00135808057945	0.000705029829498	0.00141242872024	6097.91095255	6099.53093578	2.38917552108	4.80638830044	5462.05093061	5437.61279275	0.448426954969	0.434055223837	0.551573045031	0.565944776163	2898538500.0	0.530162398049	0.523261145896
2010-01-07	5530.0	5551.700195	5499.799805	5526.700195	1162933700	5526.700195	-0.000596709764919	0.000705029829498	0.00141242872024	6097.91095255	6099.53093578	2.38917552108	4.80638830044	5481.46495044	5449.93108705	0.448426954969	0.434055223837	0.551573045031	0.565944776163	1735604800.0	0.530162398049	0.523261145896
2010-01-08	5526.700195	5549.299805	5494.799805	5534.200195	1006420600	5534.200195	0.00135704846208	0.000705029829498	0.00141242872024	5504.4333495	6099.53093578	2.38917552108	4.80638830044	5494.38930603	5460.16696811	0.448426954969	0.434055223837	0.551573045031	0.565944776163	2742025400.0	0.530162398049	0.523261145896
2010-01-11	5534.200195	5600.5	5527.899902	5538.100098	901194900	5538.100098	0.00070469134881	0.0231299669801	0.00141242872024	5525.30004883	6099.53093578	125.200196	4.80638830044	5505.76384573	5470.03806503	0.0965227775452	0.434055223837	0.903477222455	0.565944776163	3643220300.0	0.974200097712	0.523261145896
2010-01-12	5538.100098	5549.600098	5459.899902	5498.700195	957401700	5498.700195	-0.00711433565714	-0.000290822329093	0.00141242872024	5525.03344717	6099.53093578	-1.59961	4.80638830044	5515.00277495	5479.11300276	0.536635215372	0.434055223837	0.463364784628	0.565944776163	2685818600.0	0.974963506395	0.523261145896
2010-01-13	5498.700195	5509.700195	5450.899902	5473.5	849923000	5473.5	-0.00458293671346	-0.00887279311906	0.00141242872024	5516.8667805	6099.53093578	-49.0	4.80638830044	5510.34489497	5481.72462839	0.903271063154	0.434055223837	0.0967289368461	0.565944776163	1835895600.0	0.490455765494	0.523261145896
2010-01-14	5473.5	5521.899902	5473.5	5498.200195	928036100	5498.200195	0.00451268749429	-0.00575041681736	0.00141242872024	5511.566813	6099.53093578	-31.799805	4.80638830044	5499.81778212	5480.62801127	0.683821777978	0.434055223837	0.316178222022	0.565944776163	2763931700.0	0.217741304629	0.523261145896
2010-01-15	5498.200195	5527.0	5450.399902	5455.399902	1743437800	5455.399902	-0.00778441880653	-0.0129010603949	0.00141242872024	5499.68343083	6099.53093578	-71.300293	4.80638830044	5499.35561437	5482.9709691	0.969919805801	0.434055223837	0.0300801941988	0.565944776163	1020493900.0	0.347116323585	0.523261145896
2010-01-18	5455.399902	5504.0	5454.299805	5494.399902	776795200	5494.399902	0.00714888013722	-0.00719169737227	0.00141242872024	5493.05004867	6099.53093578	-39.800293	4.80638830044	5486.79683941	5479.29482682	0.706862283328	0.434055223837	0.293137716672	0.565944776163	1797289100.0	0.251567769919	0.523261145896
2010-01-19	5494.399902	5531.899902	5431.299805	5513.100098	1107801600	5513.100098	0.00340350107993	-0.00451418348488	0.00141242872024	5488.883382	6099.53093578	-25.0	4.80638830044	5488.96914301	5481.30883684	0.582277447947	0.434055223837	0.417722552053	0.565944776163	2905090700.0	0.386285194895	0.523261145896
2010-01-20	5513.100098	5513.100098	5404.0	5420.799805	1199200900	5420.799805	-0.0167419947687	-0.0141670553472	0.00141242872024	5475.89998367	5494.20002086	-77.90039	4.80638830044	5495.86370158	5485.54767167	1.08875717662	0.434055223837	-0.08875717662	0.565944776163	1705889800.0	0.43414147261	0.523261145896
2010-01-21	5420.799805	5468.399902	5331.600098	5335.100098	1345500500	5335.100098	-0.0158094211339	-0.0252854484334	-0.0143730357865	5452.83333333	5488.642892	-138.399902	-77.799804	5474.41687398	5476.91462278	1.53870175757	1.35063563359	-0.538701757567	-0.350635633588	360389300.0	0.339513774577	0.509543230472
2010-01-22	5335.100098	5345.600098	5253.0	5303.0	1645842400	5303.0	-0.00601677520765	-0.0355025623071	-0.0358707365043	5420.2999675	5474.55004879	-195.200195	-197.299805	5434.61208084	5458.00601947	1.14278645026	1.10635964456	-0.142786450255	-0.106359644564	-1285453100.0	0.271768486512	0.422137997964
2010-01-25	5303.0	5330.600098	5252.899902	5260.299805	1024448800	5260.299805	-0.00805208278333	-0.0357627489285	-0.0474785323676	5387.78328467	5455.82146343	-195.100097	-262.200195	5397.00862917	5437.33855021	0.973826433973	0.978993366906	0.0261735660273	0.0210066330935	-2309901900.0	0.185769758381	0.277965949477
2010-01-26	5260.299805	5276.899902	5215.700195	5276.899902	1015919800	5276.899902	0.00315573210946	-0.0395857607527	-0.0457685529837	5351.53328467	5437.742885	-217.5	-253.100098	5357.94896512	5413.73338418	0.913978494624	0.930955140295	0.0860215053763	0.0690448597054	-1293982100.0	0.185829646149	0.21794346676
2010-01-27	5276.899902	5276.899902	5192.600098	5217.5	1271716800	5217.5	-0.0112565906315	-0.0536177636439	-0.0559466198799	5302.26660167	5415.65715679	-295.600098	-309.200195	5334.79208995	5395.48891989	0.994308011803	0.995322749709	0.00569198819656	0.00467725029123	-2565698900.0	0.122527668167	0.232960932674
2010-01-28	5217.5	5280.399902	5145.700195	5145.700195	1294378400	5145.700195	-0.013761342597	-0.0507488968226	-0.070199845743	5256.41666667	5387.90715679	-275.09961	-388.5	5301.28006425	5371.75706391	1.1463335507	1.11497895138	-0.146333550702	-0.11497895138	-3860077300.0	0.0504868681808	0.208302240545
