Date	Open_IXIC	High_IXIC	Low_IXIC	Close_IXIC	Volume_IXIC	AdjClose_IXIC	Return_IXIC
2010-01-04	2294.409912	2311.149902	2294.409912	2308.419922	1931380000	2308.419922	
2010-01-05	2307.27002	2313.72998	2295.620117	2308.709961	2367860000	2308.709961	0.000125643951187
2010-01-06	2307.709961	2314.070068	2295.679932	2301.090088	2253340000	2301.090088	-0.00330048950657
2010-01-07	2298.090088	2301.300049	2285.219971	2300.050049	2270050000	2300.050049	-0.00045197665464
2010-01-08	2292.23999	2317.600098	2290.610107	2317.169922	2145390000	2317.169922	0.00744326107488
2010-01-11	2324.780029	2326.280029	2302.209961	2312.409912	2077890000	2312.409912	-0.00205423432904
2010-01-12	2297.280029	2298.850098	2272.699951	2282.310059	2368320000	2282.310059	-0.0130166597383
2010-01-13	2289.459961	2313.030029	2274.120117	2307.899902	2318350000	2307.899902	0.0112122552758
2010-01-14	2303.310059	2322.560059	2303.290039	2316.73999	2254170000	2316.73999	0.00383036023024
2010-01-15	2316.97998	2322.540039	2279.199951	2287.98999	2637770000	2287.98999	-0.0124096791716
2010-01-19	2291.02002	2320.399902	2290.679932	2320.399902	2045290000	2320.399902	0.0141652333016
2010-01-20	2304.310059	2304.469971	2268.679932	2291.25	2351890000	2291.25	-0.0125624475225
2010-01-21	2298.22998	2308.97998	2259.820068	2265.699951	2877800000	2265.699951	-0.0111511397709
2010-01-22	2255.76001	2262.27002	2200.370117	2205.290039	2817620000	2205.290039	-0.0266628032425
2010-01-25	2220.290039	2223.219971	2201.169922	2210.800049	2134350000	2210.800049	0.00249854209766
2010-01-26	2203.439941	2227.889893	2195.439941	2203.72998	2361260000	2203.72998	-0.00319796853777
2010-01-27	2200.300049	2225.669922	2192.590088	2221.409912	2492880000	2221.409912	0.0080227306251
2010-01-28	2220.310059	2220.870117	2166.899902	2179.0	2829640000	2179.0	-0.019091439077
2010-01-29	2198.26001	2202.840088	2140.340088	2147.350098	3090580000	2147.350098	-0.0145249664984
2010-02-01	2155.810059	2171.199951	2152.26001	2171.199951	2234140000	2171.199951	0.0111066439619
2010-02-02	2171.659912	2193.659912	2161.469971	2190.060059	2468470000	2190.060059	0.00868649061608
2010-02-03	2181.01001	2194.530029	2176.75	2190.909912	2303350000	2190.909912	0.00038805008863
2010-02-04	2176.389893	2178.25	2125.429932	2125.429932	2801390000	2125.429932	-0.0298871166
2010-02-05	2131.919922	2142.27002	2100.169922	2141.120117	2811100000	2141.120117	0.00738212291253
2010-02-08	2140.100098	2152.639893	2125.110107	2126.050049	2036280000	2126.050049	-0.00703840381506
2010-02-09	2153.100098	2166.159912	2132.580078	2150.870117	2296420000	2150.870117	0.0116742632713
2010-02-10	2147.459961	2156.360107	2131.080078	2147.870117	2059940000	2147.870117	-0.00139478436019
2010-02-11	2145.090088	2179.540039	2134.139893	2177.409912	2141260000	2177.409912	0.0137530639149
2010-02-12	2157.689941	2184.570068	2151.98999	2183.530029	2236180000	2183.530029	0.00281073258934
2010-02-16	2200.379883	2214.189941	2189.179932	2214.189941	2072850000	2214.189941	0.014041442798
2010-02-17	2222.870117	2226.320068	2212.780029	2226.290039	2103530000	2226.290039	0.00546479675295
2010-02-18	2223.219971	2243.5	2221.139893	2241.709961	2076820000	2241.709961	0.00692628621153
2010-02-19	2233.330078	2249.800049	2228.929932	2243.870117	2166660000	2243.870117	0.000963619753483
2010-02-22	2250.919922	2251.679932	2235.649902	2242.030029	1976290000	2242.030029	-0.000820051029718
2010-02-23	2238.01001	2239.800049	2205.699951	2213.439941	2310910000	2213.439941	-0.0127518755905
2010-02-24	2222.399902	2241.689941	2221.280029	2235.899902	2155810000	2235.899902	0.0101470839954
2010-02-25	2208.620117	2236.209961	2198.72998	2234.219971	2300530000	2234.219971	-0.000751344457995
