Date	Open_AXJO	High_AXJO	Low_AXJO	Close_AXJO	Volume_AXJO	AdjClose_AXJO	Return_AXJO
2010-01-04	4864.899902	4888.700195	4862.299805	4876.299805	0	4876.299805	
2010-01-05	4887.299805	4930.700195	4887.299805	4924.299805	0	4924.299805	0.00984352929875
2010-01-06	4927.700195	4938.5	4915.299805	4921.399902	0	4921.399902	-0.000588896516223
2010-01-07	4922.799805	4938.100098	4898.899902	4899.399902	0	4899.399902	-0.00447027277565
2010-01-08	4900.299805	4937.899902	4900.299805	4912.100098	0	4912.100098	0.00259219419807
2010-01-11	4921.899902	4955.100098	4921.700195	4950.700195	0	4950.700195	0.00785816580076
2010-01-12	4938.600098	4940.0	4893.100098	4899.5	0	4899.5	-0.0103420108234
2010-01-13	4886.299805	4887.0	4852.899902	4868.100098	0	4868.100098	-0.00640879722421
2010-01-14	4876.0	4920.5	4875.100098	4898.0	0	4898.0	0.00614200640868
2010-01-15	4896.5	4905.399902	4857.799805	4899.600098	0	4899.600098	0.000326683952634
2010-01-18	4890.600098	4917.100098	4865.600098	4911.100098	0	4911.100098	0.00234713033104
2010-01-19	4914.899902	4930.0	4861.200195	4861.200195	0	4861.200195	-0.0101606365181
2010-01-20	4874.700195	4905.799805	4865.600098	4868.200195	0	4868.200195	0.00143997361129
2010-01-21	4854.200195	4854.899902	4822.200195	4827.200195	0	4827.200195	-0.00842200368878
2010-01-22	4793.899902	4793.899902	4716.0	4750.600098	0	4750.600098	-0.0158684317836
2010-01-25	4725.700195	4726.600098	4679.899902	4717.899902	0	4717.899902	-0.00688338216761
2010-01-27	4705.899902	4707.399902	4628.600098	4644.600098	0	4644.600098	-0.0155365322543
2010-01-28	4653.299805	4676.100098	4642.600098	4673.299805	0	4673.299805	0.00617915566345
2010-01-29	4656.600098	4656.700195	4566.700195	4569.600098	0	4569.600098	-0.022189825461
2010-02-01	4569.899902	4588.5	4524.100098	4524.100098	0	4524.100098	-0.0099571076296
2010-02-02	4550.5	4605.399902	4548.700195	4605.299805	0	4605.299805	0.01794825606
2010-02-03	4631.0	4656.899902	4619.0	4647.899902	0	4647.899902	0.00925023316696
2010-02-04	4638.399902	4640.0	4598.299805	4621.600098	0	4621.600098	-0.00565842736602
2010-02-05	4581.5	4584.399902	4488.399902	4514.100098	0	4514.100098	-0.0232603422452
2010-02-08	4521.700195	4551.0	4515.600098	4521.399902	0	4521.399902	0.00161711168151
2010-02-09	4513.299805	4513.399902	4464.899902	4505.100098	0	4505.100098	-0.0036050348019
2010-02-10	4534.0	4570.700195	4498.899902	4513.399902	0	4513.399902	0.00184231289415
2010-02-11	4512.100098	4565.299805	4510.899902	4554.299805	0	4554.299805	0.0090618832561
2010-02-12	4566.100098	4593.299805	4545.0	4562.100098	0	4562.100098	0.00171273155786
2010-02-15	4558.5	4568.700195	4537.899902	4545.5	0	4545.5	-0.00363869657469
2010-02-16	4550.399902	4598.200195	4550.399902	4567.799805	0	4567.799805	0.00490590804092
2010-02-17	4586.200195	4672.899902	4585.399902	4667.899902	0	4667.899902	0.0219142916225
2010-02-18	4672.700195	4673.100098	4633.399902	4654.899902	0	4654.899902	-0.00278497831422
2010-02-19	4662.5	4672.200195	4609.600098	4635.100098	0	4635.100098	-0.00425354023005
2010-02-22	4654.700195	4717.5	4654.700195	4717.5	0	4717.5	0.0177773727121
2010-02-23	4705.600098	4718.299805	4688.200195	4718.299805	0	4718.299805	0.000169540010599
2010-02-24	4702.399902	4702.399902	4641.0	4648.5	0	4648.5	-0.0147934230305
2010-02-25	4656.399902	4689.899902	4589.899902	4594.100098	0	4594.100098	-0.0117026787136
2010-02-26	4607.200195	4637.700195	4593.299805	4637.700195	0	4637.700195	0.00949045429354
2010-03-01	4633.100098	4686.5	4633.100098	4686.5	0	4686.5	0.0105224147634
