Date	Open_HSI	High_HSI	Low_HSI	Close_HSI	Volume_HSI	AdjClose_HSI	Return_HSI	hkong_RoC6	hkong_RoC14	hkong_MA6	hkong_MA14	hkong_MoM6	hkong_MoM14	hkong_EMA6	hkong_EMA14	hkong_WIILR6	hkong_WIILR14	hkong_K%6	hkong_K%14	hkong_OBV	hkong_RSI6	hkong_RSI14
2010-01-04	21860.039062	22024.830078	21689.220703	21823.279297	1006199600	21823.279297	2.15554362279e-05	-4.84458034761e-05	-7.49207516907e-05	22177.2444695	22184.8963841	-10.0595829942	-22.565038297	21823.279297	21823.279297	0.474139219013	0.46618463164	0.525860780987	0.53381536836	1006199600.0	0.515244290288	0.51205380463
2010-01-05	22092.150391	22297.039062	21987.269531	22279.580078	1965584800	22279.580078	0.0209089007564	-4.84458034761e-05	-7.49207516907e-05	22177.2444695	22184.8963841	-10.0595829942	-22.565038297	21823.279297	21823.279297	0.474139219013	0.46618463164	0.525860780987	0.53381536836	2971784400.0	0.515244290288	0.51205380463
2010-01-06	22357.460938	22514.789062	22277.130859	22416.669922	2100234000	22416.669922	0.00615316103446	-4.84458034761e-05	-7.49207516907e-05	22177.2444695	22184.8963841	-10.0595829942	-22.565038297	21953.6509487	21884.1194011	0.474139219013	0.46618463164	0.525860780987	0.53381536836	5072018400.0	0.515244290288	0.51205380463
2010-01-07	22548.029297	22548.029297	22169.609375	22269.449219	1495365300	22269.449219	-0.00656746535111	-4.84458034761e-05	-7.49207516907e-05	22177.2444695	22184.8963841	-10.0595829942	-22.565038297	22085.9420839	21955.1261372	0.474139219013	0.46618463164	0.525860780987	0.53381536836	3576653100.0	0.515244290288	0.51205380463
2010-01-08	22282.75	22443.220703	22206.160156	22296.75	1626022600	22296.75	0.00122592978082	-4.84458034761e-05	-7.49207516907e-05	22177.2444695	22184.8963841	-10.0595829942	-22.565038297	22138.372694	21997.0358815	0.474139219013	0.46618463164	0.525860780987	0.53381536836	5202675700.0	0.515244290288	0.51205380463
2010-01-11	22524.179688	22671.919922	22373.960938	22411.519531	1744637600	22411.519531	0.00514736591656	-4.84458034761e-05	-7.49207516907e-05	22249.5413412	22184.8963841	-10.0595829942	-22.565038297	22183.6233528	22036.997764	0.474139219013	0.46618463164	0.525860780987	0.53381536836	6947313300.0	0.515244290288	0.51205380463
2010-01-12	22378.230469	22476.119141	22192.980469	22326.640625	2204776800	22326.640625	-0.00378728920556	0.0230653386757	-7.49207516907e-05	22333.4348958	22184.8963841	503.361328	-22.565038297	22248.7365466	22086.9339996	0.351358065952	0.46618463164	0.648641934048	0.53381536836	4742536500.0	0.833212002688	0.51205380463
2010-01-13	21990.679688	22012.039062	21688.169922	21748.599609	3414190400	21748.599609	-0.0258901921569	-0.0238326066802	-7.49207516907e-05	22244.938151	22184.8963841	-530.980469	-22.565038297	22270.9948547	22118.894883	1.3486011622	0.46618463164	-0.348601162195	0.53381536836	1328346100.0	0.760118775037	0.51205380463
2010-01-14	21871.009766	21988.929688	21707.099609	21716.949219	2338667600	21716.949219	-0.00145528404445	-0.0312143019206	-7.49207516907e-05	22128.3180338	22184.8963841	-699.720703	-22.565038297	22121.7390702	22069.5221798	0.970745314358	0.46618463164	0.0292546856417	0.53381536836	-1010321500.0	0.256274631277	0.51205380463
2010-01-15	21715.089844	21788.849609	21581.070312	21654.160156	2659842200	21654.160156	-0.00289124694112	-0.0276292896582	-7.49207516907e-05	22025.7698567	22184.8963841	-615.289063	-22.565038297	22006.084827	22022.5124517	1.03457155375	0.46618463164	-0.0345715537484	0.53381536836	-3670163700.0	0.14440074846	0.51205380463
2010-01-18	21418.339844	21645.679688	21320.970703	21460.009766	1867401600	21460.009766	-0.0089659625957	-0.0375274528351	-7.49207516907e-05	21886.313151	22184.8963841	-836.740234	-22.565038297	21905.534921	21973.3988122	1.11097821816	0.46618463164	-0.110978218162	0.53381536836	-5537565300.0	0.157955995953	0.51205380463
2010-01-19	21481.109375	21681.689453	21335.599609	21677.980469	1913397800	21677.980469	0.010157064483	-0.0327304474373	-7.49207516907e-05	21764.0566407	22184.8963841	-733.539062	-22.565038297	21778.2420196	21904.9469394	0.735734133468	0.46618463164	0.264265866532	0.53381536836	-3624167500.0	0.107635524229	0.51205380463
