Date	Open_AAPL	High_AAPL	Low_AAPL	Close_AAPL	Volume_AAPL	AdjClose_AAPL	Return_AAPL
2010-01-04	213.429998	214.499996	212.380001	214.009998	123432400	27.847252	
2010-01-05	214.599998	215.589994	213.249994	214.379993	150476200	27.895396	0.00172885999667
2010-01-06	214.379993	215.23	210.750004	210.969995	138040000	27.451683	-0.0159063165836
2010-01-07	211.75	212.000006	209.050005	210.58	119282800	27.400936	-0.00184859339954
2010-01-08	210.299994	212.000006	209.060005	211.980005	111902700	27.583106	0.00664831303573
2010-01-11	212.799997	213.000002	208.450005	210.110003	115557400	27.339779	-0.00882159536348
2010-01-12	209.189995	209.769995	206.419998	207.720001	148614900	27.028789	-0.0113750005075
2010-01-13	207.870005	210.929995	204.099998	210.650002	151473000	27.410045	0.0141055524167
2010-01-14	210.110003	210.459997	209.020004	209.43	108223500	27.251297	-0.00579159939358
2010-01-15	210.929995	211.599997	205.869999	205.93	148516900	26.795872	-0.0167120486045
2010-01-19	208.330002	215.189999	207.240004	215.039995	182501900	27.981276	0.0442383065571
2010-01-20	214.910006	215.549994	209.500002	211.73	153038200	27.550575	-0.0153924717372
2010-01-21	212.079994	213.309996	207.210003	208.069996	152038600	27.074331	-0.0172861727931
2010-01-22	206.780006	207.499996	197.16	197.75	220441900	25.73148	-0.0495986770643
2010-01-25	202.510002	204.699999	200.190002	203.070002	266424900	26.423726	0.0269026888465
2010-01-26	205.950001	213.710005	202.580004	205.940001	466777500	26.797173	0.0141330181822
2010-01-27	206.849995	210.58	199.530001	207.880005	430642100	27.049609	0.00942024742685
2010-01-28	204.930004	205.500004	198.699995	199.289995	293375600	25.931866	-0.0413219651345
2010-01-29	201.079996	202.199995	190.250002	192.060003	311488100	24.991091	-0.0362787236368
2010-02-01	192.369997	196.0	191.299999	194.729998	187469100	25.338514	0.0139018740718
2010-02-02	195.909998	196.319994	193.379993	195.859997	174585600	25.485551	0.00580290541111
2010-02-03	195.169994	200.200003	194.420004	199.229994	153832000	25.924059	0.017206141629
2010-02-04	196.730003	198.370001	191.570005	192.050003	189413000	24.989789	-0.0360387237199
2010-02-05	192.630003	196.0	190.850002	195.460001	212576700	25.433503	0.0177558121839
2010-02-08	195.690006	197.880003	193.999994	194.119997	119567700	25.25914	-0.00685564233916
2010-02-09	196.419996	197.499994	194.749998	196.190004	158221700	25.528492	0.0106635459481
2010-02-10	195.889997	196.6	194.26	195.120007	92590400	25.389262	-0.00545390616884
2010-02-11	194.880001	199.750006	194.059996	198.669994	137586400	25.851191	0.0181938726695
2010-02-12	198.109995	201.639996	195.500002	200.379993	163867200	26.073698	0.00860722432479
2010-02-16	201.940002	203.690002	201.520006	203.399996	135934400	26.466665	0.015071394936
2010-02-17	204.190001	204.310003	200.860004	202.550003	109099200	26.356063	-0.00417891713973
2010-02-18	201.629995	203.889994	200.920006	202.929998	105706300	26.405508	0.00187603892129
2010-02-19	201.860001	203.200005	201.109997	201.669996	103867400	26.241555	-0.00620904547642
2010-02-22	202.339998	202.500002	199.190006	200.419994	97640900	26.078903	-0.00619826073569
2010-02-23	199.999998	201.330002	195.709993	197.059998	143773700	25.641696	-0.0167647772608
2010-02-24	198.229998	201.440004	197.840002	200.66	115141600	26.110133	0.0182685653866
2010-02-25	197.380005	202.859997	196.889994	202.000004	166281500	26.284496	0.00667798206926
2010-02-26	202.379999	205.169996	202.000004	204.619997	126865200	26.625413	0.0129702696221
