Date	Open_AAPL	High_AAPL	Low_AAPL	Close_AAPL	Volume_AAPL	AdjClose_AAPL	Return_AAPL	apple_RoC6	apple_RoC14	apple_MA6	apple_MA14	apple_MoM6	apple_MoM14	apple_EMA6	apple_EMA14	apple_WIILR6	apple_WIILR14	apple_K%6	apple_K%14	apple_OBV	apple_RSI6	apple_RSI14
2010-01-04	213.429998	214.499996	212.380001	214.009998	123432400	28.313195	0.000976134366343	0.00578381869784	0.0133154606186	72.5185496986	72.5696828093	0.278669932127	0.638168163743	28.313195	28.313195	12.7359293776	7.70489319672	-11.7359293776	-6.70489319672	123432400.0	0.547547105187	0.550899372815
2010-01-05	214.599998	215.589994	213.249994	214.379993	150476200	28.362145	0.00172887588278	0.00578381869784	0.0133154606186	72.5185496986	72.5696828093	0.278669932127	0.638168163743	28.313195	28.313195	12.7359293776	7.70489319672	-11.7359293776	-6.70489319672	273908600.0	0.547547105187	0.550899372815
2010-01-06	214.379993	215.23	210.750004	210.969995	138040000	27.911008	-0.0159063075095	0.00578381869784	0.0133154606186	72.5185496986	72.5696828093	0.278669932127	0.638168163743	28.3271807143	28.3197216667	12.7359293776	7.70489319672	-11.7359293776	-6.70489319672	135868600.0	0.547547105187	0.550899372815
2010-01-07	211.75	212.000006	209.050005	210.58	119282800	27.859412	-0.00184858963173	0.00578381869784	0.0133154606186	72.5185496986	72.5696828093	0.278669932127	0.638168163743	28.2082742245	28.2652265111	12.7359293776	7.70489319672	-11.7359293776	-6.70489319672	16585800.0	0.547547105187	0.550899372815
2010-01-08	210.299994	212.000006	209.060005	211.980005	111902700	28.04463	0.00664830973461	0.00578381869784	0.0133154606186	72.5185496986	72.5696828093	0.278669932127	0.638168163743	28.1085993032	28.2111179096	12.7359293776	7.70489319672	-11.7359293776	-6.70489319672	128488500.0	0.547547105187	0.550899372815
2010-01-11	212.799997	213.000002	208.450005	210.110003	115557400	27.797232	-0.00882158188573	0.00578381869784	0.0133154606186	28.047937	72.5696828093	0.278669932127	0.638168163743	28.0903223594	28.1889195217	12.7359293776	7.70489319672	-11.7359293776	-6.70489319672	12931100.0	0.547547105187	0.550899372815
2010-01-12	209.189995	209.769995	206.419998	207.720001	148614900	27.481038	-0.0113750174838	-0.0293911372418	0.0133154606186	27.9092441667	72.5696828093	-0.832157	0.638168163743	28.0065822567	28.1366945188	26.3458327457	7.70489319672	-25.3458327457	-6.70489319672	-135683800.0	0.237903320028	0.550899372815
2010-01-13	207.870005	210.929995	204.099998	210.650002	151473000	27.868673	0.0141055443393	-0.0173989661219	0.0133154606186	27.8269988333	72.5696828093	-0.493472	0.638168163743	27.8564267548	28.0492736496	20.471254404	7.70489319672	-19.471254404	-6.70489319672	15789200.0	0.180060946118	0.550899372815
2010-01-14	210.110003	210.459997	209.020004	209.43	108223500	27.707269	-0.00579159258857	-0.00729959304945	0.0133154606186	27.7930423333	72.5696828093	-0.203739	0.638168163743	27.859925682	28.025193563	16.8484004765	7.70489319672	-15.8484004765	-6.70489319672	-92434300.0	0.349475773833	0.550899372815
2010-01-15	210.929995	211.599997	205.869999	205.93	148516900	27.244224	-0.0167120404396	-0.0220818730848	0.0133154606186	27.690511	72.5696828093	-0.615188	0.638168163743	27.8163094871	27.9828036213	20.8714263499	7.70489319672	-19.8714263499	-6.70489319672	-240951200.0	0.424510076365	0.550899372815
