Date	Open_RELIANCE.NS	High_RELIANCE.NS	Low_RELIANCE.NS	Close_RELIANCE.NS	Volume_RELIANCE.NS	AdjClose_RELIANCE.NS	Return_RELIANCE.NS	reliance_RoC6	reliance_RoC14	reliance_MA6	reliance_MA14	reliance_MoM6	reliance_MoM14	reliance_EMA6	reliance_EMA14	reliance_WIILR6	reliance_WIILR14	reliance_K%6	reliance_K%14	reliance_OBV	reliance_RSI6	reliance_RSI14
2010-01-01	1093.35	1093.35	1093.35	1093.35	0	1020.0561	0.00012575899102	0.000602703251312	0.00104293489658	870.191736356	869.606755971	-0.150393617021	-0.568738930818	1020.0561	1020.0561	1.23936278688	0.973467052612	-0.239362786879	0.0265329473879	0.0	0.492454603006	0.494619357142
2010-01-04	1091.1	1091.1	1021.85	1075.5	17520000	1003.4027	-0.016325964817	0.000602703251312	0.00104293489658	870.191736356	869.606755971	-0.150393617021	-0.568738930818	1020.0561	1020.0561	1.23936278688	0.973467052612	-0.239362786879	0.0265329473879	-17520000.0	0.492454603006	0.494619357142
2010-01-05	1149.9	1149.9	1065.4	1070.7	4890000	998.9244	-0.00446311336416	0.000602703251312	0.00104293489658	870.191736356	869.606755971	-0.150393617021	-0.568738930818	1015.29798571	1017.83564667	1.23936278688	0.973467052612	-0.239362786879	0.0265329473879	-22410000.0	0.492454603006	0.494619357142
2010-01-06	1079.9	1094.5	1070.65	1088.0	5415500	1015.0647	0.0161576791997	0.000602703251312	0.00104293489658	870.191736356	869.606755971	-0.150393617021	-0.568738930818	1010.61981837	1015.31414711	1.23936278688	0.973467052612	-0.239362786879	0.0265329473879	-16994500.0	0.492454603006	0.494619357142
2010-01-07	1088.0	1115.0	1078.0	1106.05	5988400	1031.9048	0.0165901740057	0.000602703251312	0.00104293489658	870.191736356	869.606755971	-0.150393617021	-0.568738930818	1011.88978455	1015.2808875	1.23936278688	0.973467052612	-0.239362786879	0.0265329473879	-11006100.0	0.492454603006	0.494619357142
2010-01-08	1108.0	1113.8	1096.0	1103.15	3453900	1029.1992	-0.00262194729591	0.000602703251312	0.00104293489658	1016.42531667	869.606755971	-0.150393617021	-0.568738930818	1017.60836039	1017.49740916	1.23936278688	0.973467052612	-0.239362786879	0.0265329473879	-14460000.0	0.492454603006	0.494619357142
2010-01-11	1134.7	1149.7	1050.0	1081.5	43122100	1009.0005	-0.0196256468136	-0.0108382274269	0.00104293489658	1014.58271667	869.606755971	-11.0556	-0.568738930818	1020.92002885	1019.05764794	1.1003475205	0.973467052612	-0.1003475205	0.0265329473879	-57582100.0	0.5804599623	0.494619357142
2010-01-12	1095.0	1137.3	1077.0	1084.35	7495300	1011.6594	0.00263518204401	0.00822870020182	0.00104293489658	1015.95883333	869.606755971	8.2567	-0.568738930818	1017.51444918	1017.71669488	1.0795829754	0.973467052612	-0.0795829754002	0.0265329473879	-50086800.0	0.428225676609	0.494619357142
2010-01-13	1088.0	1092.0	1068.6	1088.6	3511000	1015.6245	0.00391940212289	0.016718081969	0.00104293489658	1018.74218333	869.606755971	16.7001	-0.568738930818	1015.84157799	1016.90905557	1.3440990991	0.973467052612	-0.344099099099	0.0265329473879	-46575800.0	0.56550659374	0.494619357142
2010-01-14	1086.0	1124.8	1086.0	1121.7	5610700	1046.5056	0.030406021123	0.0309742817379	0.00104293489658	1023.98233333	869.606755971	31.4409	-0.568738930818	1015.7795557	1016.73778149	1.03504914744	0.973467052612	-0.0350491474423	0.0265329473879	-40965100.0	0.633582205357	0.494619357142
2010-01-15	1125.8	1138.9	1105.05	1110.75	4289700	1036.2897	-0.00976191622864	0.00424932610062	0.00104293489658	1024.71315	869.606755971	4.3849	-0.568738930818	1024.5584255	1020.70682396	1.13751554664	0.973467052612	-0.13751554664	0.0265329473879	-45254800.0	0.703502288041	0.494619357142
2010-01-18	1107.0	1116.45	1091.95	1099.5	3239500	1025.7938	-0.0101283453845	-0.00330878609311	0.00104293489658	1024.14558333	869.606755971	-3.4054	-0.568738930818	1027.91021822	1022.78454076	1.24279037111	0.973467052612	-0.242790371113	0.0265329473879	-48494300.0	0.531043407957	0.494619357142
2010-01-19	1100.0	1106.05	1082.65	1085.0	2986300	1012.2658	-0.0131878356059	0.00323617282648	0.00104293489658	1024.6898	869.606755971	3.2653	-0.568738930818	1027.3055273	1023.18577533	1.3784774323	0.973467052612	-0.378477432297	0.0265329473879	-51480600.0	0.478286208356	0.494619357142
2010-01-20	1095.0	1097.1	1072.0	1077.5	4418700	1005.2686	-0.00691241371584	-0.00631714586945	0.00104293489658	1023.62466667	1018.63998571	-6.3908	-0.568738930818	1023.00846236	1021.72977862	1.90087339972	0.973467052612	-0.900873399716	0.0265329473879	-55899300.0	0.522756321355	0.494619357142
2010-01-21	1075.0	1077.0	1050.25	1054.05	4254200	983.3907	-0.0217632382032	-0.0317379110094	-0.0359444936411	1018.25236667	1016.02102857	-32.2338	-36.6654	1017.93993025	1019.5349548	2.21208108108	1.30034595861	-1.21208108108	-0.30034595861	-60153500.0	0.458001240747	0.452530680509
2010-01-22	1041.0	1071.0	1029.5	1053.85	9113500	983.204	-0.000189853330929	-0.0604885439696	-0.0201302029584	1007.7021	1014.57826429	-63.3016	-20.1987	1008.06872161	1014.71572083	1.7563000564	1.30180398282	-0.756300056402	-0.301803982819	-69267000.0	0.328536320694	0.396796489909
2010-01-25	1049.65	1054.4	1036.7	1042.05	3061400	972.1951	-0.0111969642109	-0.0618500791815	-0.0267580809919	997.019666667	1012.66902857	-64.0946	-26.7293	1000.96451544	1010.51415805	1.52381078611	1.47595431894	-0.523810786106	-0.475954318937	-72328400.0	0.0	0.437337166974
2010-01-26	1085.9	1085.9	1085.9	1085.9	0	1013.1055	0.0420804424955	-0.0123692500384	-0.00193012327195	994.90495	1012.52908571	-12.6883	-1.9592	992.744682454	1005.40495031	1.18855089132	1.13639351082	-0.188550891317	-0.136393510815	-72328400.0	0.0	0.420306344115
2010-01-27	1034.0	1050.0	1020.0	1027.55	5678800	958.6671	-0.0537341866173	-0.05294923527	-0.0709733107163	985.971833333	1007.29782143	-53.5987	-73.2377	998.562058896	1006.43169027	1.92531548008	1.58929201331	-0.925315480078	-0.589292013311	-78007200.0	0.432872601686	0.49491038622
2010-01-28	1040.0	1046.45	1025.0	1037.15	7594300	967.6235	0.00934255488688	-0.0374478025077	-0.0598287484094	979.69765	1002.89955714	-37.6451	-61.5757	987.163499211	1000.06307823	1.67933203632	1.40382806476	-0.679332036316	-0.403828064765	-70412900.0	0.302101248343	0.340835150544
2010-01-29	1032.9	1051.8	1018.1	1046.2	5333500	976.0668	0.0087258112272	-0.00744759941293	-0.0326399243608	978.477	1000.54715	-7.3239	-32.9337	981.580642294	995.737801136	1.6666646434	1.33872937548	-0.666664643399	-0.338729375482	-65079400.0	0.362987857652	0.369719384139
2010-02-01	1037.5	1055.0	1035.55	1045.4	2773300	975.3205	-0.000764599308162	-0.0080181732377	-0.0359200932646	977.163083333	997.951514286	-7.8835	-36.3389	980.005258781	993.115000984	1.6309660767	1.35413493377	-0.630966076696	-0.354134933775	-67852700.0	0.470454826006	0.426671939103
2010-02-02	1052.0	1056.35	1024.1	1027.3	3942800	958.4339	-0.0173138983544	-0.0141547720206	-0.0563107723376	974.86955	993.866471429	-13.7612	-57.1906	978.666756272	990.742400853	1.88003097345	1.49392466887	-0.880030973451	-0.493924668874	-71795500.0	0.46834029832	0.418395115236
2010-02-03	1031.1	1048.4	1031.1	1033.95	3440600	964.638	0.00647316419004	-0.0478405259867	-0.0782294906019	966.791633333	988.018785714	-48.4675	-81.8676	972.885940195	986.434600739	1.78852507375	1.44256622517	-0.788525073746	-0.442566225166	-68354900.0	0.447227135159	0.378613847937
2010-02-04	1038.0	1038.0	1014.0	1019.15	2737100	950.8302	-0.0143139706294	-0.00817478768177	-0.0824668044081	965.485483333	981.914535714	-7.8369	-85.4595	970.529385853	983.528387308	2.7586875817	1.5568692053	-1.7586875817	-0.556869205298	-71092000.0	0.246707868609	0.305905280328
2010-02-05	975.0	1007.75	975.0	981.7	6830700	915.8907	-0.0367463086469	-0.053463769741	-0.107139563526	956.86335	974.064314286	-51.7328	-109.9031	964.901047038	979.168629	3.31663046045	1.95763103953	-2.31663046045	-0.957631039531	-77922700.0	0.428813051259	0.300782468382
2010-02-08	985.0	1004.35	975.0	994.35	5919100	927.6926	0.0128857078689	-0.0495603374687	-0.0835484118894	948.800983333	968.023371429	-48.3742	-84.5732	950.898090741	970.7315718	1.58152919484	1.36098740939	-0.581529194837	-0.360987409386	-72003600.0	0.18077050289	0.270011279383
2010-02-09	993.75	998.0	982.7	993.25	3266900	926.6664	-0.00110618538943	-0.0498852428509	-0.0781902468654	940.691966667	962.408928571	-48.6541	-78.6022	944.26795053	964.993042227	1.59414382299	1.39585257985	-0.594143822987	-0.395852579853	-75270500.0	0.21337612074	0.321730028069
2010-02-10	999.9	999.9	982.0	985.1	4174200	919.0627	-0.00820543401595	-0.0410786805433	-0.06541448887	934.1301	957.814071429	-39.3712	-64.328	939.238936093	959.882823263	1.68761278427	1.50439404869	-0.687612784266	-0.504394048693	-79444700.0	0.212670714725	0.330037831741
2010-02-11	989.25	1019.8	988.5	1015.15	5360200	947.0983	0.0305045564356	-0.018182675781	-0.0367224909581	931.206816667	955.235092857	-17.5397	-36.1057	933.474297209	954.440140161	1.38013215259	1.25159332732	-0.380132152589	-0.251593327322	-74084500.0	0.238859586751	0.351751611586
2010-02-12	1018.8	1018.8	1018.8	1018.8	0	950.5036	0.00359550851269	-0.000343489300193	-0.0223118795805	931.152383333	953.6857	-0.3266	-21.6915	937.366869435	953.46122814	1.38883174603	1.22088728584	-0.388831746032	-0.220887285843	-74084500.0	0.409788848806	0.42625743896
2010-02-15	1027.0	1027.0	1007.6	1010.0	3085500	942.2935	-0.00863763167231	0.0288274572501	-0.069895978257	935.55285	948.6277	26.4028	-70.812	941.120221025	953.066877721	1.73005580357	1.29491884581	-0.730055803571	-0.294918845807	-77170000.0	0.498118927985	0.454276987675
2010-02-16	1010.1	1021.0	1005.0	1017.75	2301400	949.524	0.00767329924275	0.0235330108271	-0.00953730445115	939.191416667	947.974621429	21.8314	-9.1431	941.455443589	951.630427358	1.48992307692	1.31316533497	-0.489923076923	-0.313165334972	-74868600.0	0.719720119568	0.326869928002
2010-02-17	1025.0	1037.8	1022.05	1032.55	3572700	963.3319	0.0145419178452	0.0395670977172	-0.00443519612742	945.302333333	947.668078571	36.6655	-4.2916	943.760745421	951.349570377	1.41484666667	1.14343085433	-0.414846666667	-0.143430854333	-71295900.0	0.696638888589	0.470936881943
2010-02-18	1030.0	1038.35	995.0	997.8	4533700	930.9114	-0.0336545483441	0.012892156324	-0.046262612354	947.277116667	944.442692857	11.8487	-45.1554	949.352503872	952.947214327	1.91556630824	1.54196189305	-0.915566308244	-0.541961893055	-75829600.0	0.768442199871	0.486766476224
2010-02-19	995.0	995.0	977.15	983.2	4058300	917.2901	-0.0146322195646	-0.0314731849904	-0.0594988006507	942.309083333	940.297664286	-29.8082	-58.0304	944.083617051	950.00910575	2.42848345035	1.70940258144	-1.42848345035	-0.709402581438	-79887900.0	0.563627498257	0.378696689339
2010-02-22	995.3	1000.0	970.0	977.95	2901100	912.3921	-0.00533964118876	-0.0400961132604	-0.0480385762649	935.957166667	937.008964286	-38.1115	-46.0418	936.428326465	945.64657165	2.05813562092	1.76961155501	-1.05813562092	-0.769611555009	-82789000.0	0.310610758416	0.354195707559
2010-02-23	974.0	983.0	970.0	975.35	2966300	909.9663	-0.00265872534407	-0.034306933031	-0.0566758721925	930.5693	933.103842857	-32.3272	-54.6717	929.56083319	941.212642097	1.87832772495	1.76573596939	-0.878327724945	-0.765735969388	-85755300.0	0.26236246435	0.376901745553
2010-02-24	970.0	985.7	966.65	978.8	2854400	913.1851	0.00353727385289	-0.0382706492938	-0.0395918219678	924.512816667	930.414907143	-36.3389	-37.6451	923.962395135	937.04646315	1.83123482078	1.83123482078	-0.831234820775	-0.831234820775	-82900900.0	0.282758991452	0.350814613655
2010-02-25	980.1	985.0	959.15	963.1	4332500	898.5375	-0.0160401215482	-0.0672607229139	-0.0189468022767	913.71375	929.175392857	-64.7944	-17.3532	920.883167954	933.864948064	1.9499651325	1.9499651325	-0.949965132497	-0.949965132497	-87233400.0	0.241882990043	0.390975475122
2010-02-26	969.0	995.0	966.25	978.95	5161200	913.325	0.0164572986659	-0.018891593765	-0.0154874578066	910.782683333	928.149135714	-17.5864	-14.3676	914.498691396	929.154621655	1.57859848485	1.57859848485	-0.578598484848	-0.578598484848	-82072200.0	0.0451875561545	0.443049440379
2010-03-01	979.3	979.3	979.3	979.3	0	913.6515	0.000357485013549	-0.00396668404031	-0.0140448601568	910.17625	927.2195	-3.6386	-13.0149	914.163350997	927.044005435	2.11379436965	1.5744760101	-1.11379436965	-0.574476010101	-82072200.0	0.335944700461	0.453753988057
2010-03-02	985.0	999.0	979.4	983.2	4162600	917.2901	0.00398248128526	0.00536830601668	-0.00192870410256	910.992583333	927.092885714	4.898	-1.7726	914.017107855	925.258338043	2.02472215422	1.52853409091	-1.02472215422	-0.528534090909	-77909600.0	0.45486078374	0.45791846952
2010-03-03	988.0	1028.0	988.0	1024.8	6085700	956.1015	0.0423109330407	0.0506998995457	0.00950608822759	918.681783333	927.735971429	46.1352	9.0032	914.952248468	924.195906304	1.07649937265	1.03849116162	-0.0764993726474	-0.0384911616162	-71823900.0	0.562722820965	0.49411776418
2010-03-04	1040.0	1040.0	1008.0	1014.0	4750200	946.0254	-0.0105387346427	0.035962369513	-0.00471139720039	924.155166667	927.4161	32.8403	-4.4782	926.709177477	928.449985464	1.19062599855	1.16571464646	-0.190625998548	-0.165714646465	-76574100.0	0.805813040896	0.527882351047
2010-03-05	1022.0	1026.0	1005.1	1009.8	2691400	942.1069	-0.00414206637581	0.0484892394586	-0.000198027472332	931.416733333	927.402771429	43.5694	-0.1866	932.228098198	930.793374068	1.21079901051	1.21079901051	-0.210799010513	-0.210799010513	-79265500.0	0.699545618604	0.486681584529
2010-03-08	1021.2	1027.0	1002.0	1004.1	2729500	936.789	-0.00564468851677	0.0256907453535	-0.0134119832674	935.3274	926.493128571	23.464	-12.735	935.050612998	932.301844193	1.39947118644	1.27657390229	-0.399471186441	-0.276573902288	-81995000.0	0.804431612692	0.499430503757
2010-03-09	1006.5	1011.8	988.05	990.35	3990900	923.9608	-0.0136937987103	0.0112836240076	-0.0408697147888	937.045616667	923.680907143	10.3093	-39.3711	935.547294999	932.900131634	1.91168369028	1.43524056895	-0.91168369028	-0.435240568955	-85985900.0	0.688954565221	0.460674150364
2010-03-10	995.0	1018.9	989.3	1008.75	5670500	941.1273	0.0185792514141	0.0259865444967	0.0109740841073	941.018483333	924.410614286	23.8372	10.2159	932.236867856	931.708220749	1.63156270627	1.2229152752	-0.631562706271	-0.222915275201	-80315400.0	0.569105800053	0.377681411387
2010-03-11	1010.0	1020.0	1007.0	1016.45	3333600	948.3112	0.00763329254183	-0.00814798428828	0.0338181999348	939.7201	926.626407143	-7.7903	31.0211	934.776991326	932.964097983	1.76324615385	1.13406060606	-0.763246153846	-0.134060606061	-76981800.0	0.635256347695	0.535062159062
2010-03-12	1015.0	1033.0	1014.0	1021.6	5105000	953.1159	0.00506658573683	0.00749504188788	0.0446340997472	940.90185	929.53525	7.0905	40.7238	938.64390809	935.010378252	1.67245620789	1.07463327149	-0.672456207892	-0.0746332714904	-71876800.0	0.431048430638	0.611390115142
