Date	Open_N225	High_N225	Low_N225	Close_N225	Volume_N225	AdjClose_N225	Return_N225	nikkei_RoC6	nikkei_RoC14	nikkei_MA6	nikkei_MA14	nikkei_MoM6	nikkei_MoM14	nikkei_EMA6	nikkei_EMA14	nikkei_WIILR6	nikkei_WIILR14	nikkei_K%6	nikkei_K%14	nikkei_OBV	nikkei_RSI6	nikkei_RSI14
2010-01-04	10609.339844	10694.490234	10608.139648	10654.790039	104400	10654.790039	0.000406161229534	0.00223538912098	0.00504583706259	12927.7052175	12924.7076886	22.7150226487	50.4473262198	10654.790039	10654.790039	0.440886024183	0.421061149761	0.559113975817	0.578938850239	104400.0	0.54190222236	0.536000554922
2010-01-05	10719.44043	10791.040039	10655.570312	10681.830078	166200	10681.830078	0.00253782936135	0.00223538912098	0.00504583706259	12927.7052175	12924.7076886	22.7150226487	50.4473262198	10654.790039	10654.790039	0.440886024183	0.421061149761	0.559113975817	0.578938850239	270600.0	0.54190222236	0.536000554922
2010-01-06	10709.549805	10768.610352	10661.169922	10731.450195	181800	10731.450195	0.00464528237555	0.00223538912098	0.00504583706259	12927.7052175	12924.7076886	22.7150226487	50.4473262198	10662.5157644	10658.3953775	0.440886024183	0.421061149761	0.559113975817	0.578938850239	452400.0	0.54190222236	0.536000554922
2010-01-07	10742.75	10774.0	10636.669922	10681.660156	182600	10681.660156	-0.00463963752291	0.00223538912098	0.00504583706259	12927.7052175	12924.7076886	22.7150226487	50.4473262198	10682.211316	10668.1360199	0.440886024183	0.421061149761	0.559113975817	0.578938850239	269800.0	0.54190222236	0.536000554922
2010-01-08	10743.299805	10816.450195	10677.55957	10798.320312	211800	10798.320312	0.0109215378786	0.00223538912098	0.00504583706259	12927.7052175	12924.7076886	22.7150226487	50.4473262198	10682.0538417	10669.939238	0.440886024183	0.421061149761	0.559113975817	0.578938850239	481600.0	0.54190222236	0.536000554922
2010-01-12	10770.349609	10905.389648	10763.679688	10879.139648	192800	10879.139648	0.00748443588122	0.00223538912098	0.00504583706259	10737.8650713	12924.7076886	22.7150226487	50.4473262198	10715.2728332	10687.0567145	0.440886024183	0.421061149761	0.559113975817	0.578938850239	674400.0	0.54190222236	0.536000554922
2010-01-13	10795.480469	10866.620117	10729.860352	10735.030273	250000	10735.030273	-0.013246394445	0.00753090710434	0.00504583706259	10751.2384437	12924.7076886	80.240234	50.4473262198	10762.0919232	10712.6677723	0.573118166526	0.421061149761	0.426881833474	0.578938850239	424400.0	0.846293683481	0.536000554922
2010-01-14	10778.070312	10909.94043	10774.25	10907.679688	267400	10907.679688	0.0160828065324	0.0211433441977	0.00504583706259	10788.8800453	12924.7076886	225.84961	50.4473262198	10754.3600231	10715.6494391	-0.00852203905567	0.421061149761	1.00852203906	0.578938850239	691800.0	0.585719591071	0.536000554922
2010-01-15	10917.410156	10982.099609	10878.830078	10982.099609	253000	10982.099609	0.00682270869045	0.0233565277242	0.00504583706259	10830.6549477	12924.7076886	250.649414	50.4473262198	10798.1656417	10741.2534723	-0.264057689679	0.421061149761	1.26405768968	0.578938850239	944800.0	0.684021987195	0.536000554922
2010-01-18	10887.610352	10895.099609	10781.030273	10855.080078	186600	10855.080078	-0.0115660516224	0.0162352967111	0.00504583706259	10859.558268	12924.7076886	173.419922	50.4473262198	10850.7182038	10773.3662905	0.36771457631	0.421061149761	0.63228542369	0.578938850239	758200.0	0.696295797773	0.536000554922
2010-01-19	10866.830078	10866.830078	10749.469727	10764.900391	174600	10764.900391	-0.00830760218736	-0.00309491847198	0.00504583706259	10853.9882812	12924.7076886	-33.419921	50.4473262198	10851.9644535	10784.2614622	0.713204144562	0.421061149761	0.286795855438	0.578938850239	583600.0	0.621157829678	0.536000554922
2010-01-20	10834.910156	10860.929688	10724.570312	10737.519531	146400	10737.519531	-0.00254353119913	-0.0130175842559	0.00504583706259	10830.3849283	12924.7076886	-141.620117	50.4473262198	10827.0890071	10781.679986	0.96963526181	0.421061149761	0.0303647381898	0.578938850239	437200.0	0.475754459066	0.536000554922
2010-01-21	10704.790039	10886.639648	10649.839844	10868.410156	176800	10868.410156	0.0121900243927	0.012424732824	0.00504583706259	10852.6149088	12924.7076886	133.379883	50.4473262198	10801.4977282	10775.7919253	0.441462211579	0.421061149761	0.558537788421	0.578938850239	614000.0	0.388621188216	0.536000554922
2010-01-22	10740.209961	10768.070312	10528.330078	10590.549805	187400	10590.549805	-0.0255658690656	-0.0290740003439	0.00504583706259	10799.7599283	10776.3185685	-317.129883	50.4473262198	10820.6155647	10788.1410228	1.17844483517	0.421061149761	-0.178444835173	0.578938850239	426600.0	0.607125545864	0.536000554922
2010-01-25	10478.30957	10557.639648	10414.580078	10512.69043	139800	10512.69043	-0.00735177837162	-0.0427431179567	-0.0133366878634	10721.5250652	10766.1685964	-469.409179	-142.099609	10754.8824905	10761.7955271	1.03446606026	1.03446606026	-0.0344660602609	-0.0344660602609	286800.0	0.282116483595	0.476527922406
2010-01-26	10506.150391	10566.490234	10324.980469	10325.280273	175400	10325.280273	-0.0178270403992	-0.0488066233683	-0.0333790935071	10633.2250977	10740.7007532	-529.799805	-356.549805	10685.6847589	10728.5815141	1.18584011521	1.15735106921	-0.185840115206	-0.157351069209	111400.0	0.179010309502	0.450874740978
2010-01-27	10344.070312	10373.820312	10252.080078	10252.080078	139400	10252.080078	-0.00708941482116	-0.0476381846904	-0.0446696493288	10547.7550455	10706.4600306	-512.820313	-479.370117	10582.7120487	10674.8080153	1.12979471132	1.11093938156	-0.129794711323	-0.110939381556	-28000.0	0.165353407807	0.389040674462
2010-01-28	10309.730469	10462.700195	10296.980469	10414.290039	168000	10414.290039	0.0158221511894	-0.0301028082945	-0.0250307642347	10493.8834635	10687.3621651	-323.229492	-267.370117	10488.2457713	10618.4442903	0.744373942702	0.777800518874	0.255626057298	0.222199481126	140000.0	0.168978002695	0.352976413346
2010-01-29	10308.049805	10324.370117	10198.040039	10198.040039	156800	10198.040039	-0.0207647376048	-0.0616806052935	-0.0555901525104	10382.1551107	10644.4850027	-670.370117	-600.280273	10467.1155621	10591.2237235	1.08516149083	1.07402547015	-0.0851614908274	-0.0740254701487	-16800.0	0.322290194957	0.423287174604
2010-02-01	10212.360352	10224.830078	10129.910156	10205.019531	162000	10205.019531	0.000684395430231	-0.0364032350632	-0.0619644695088	10317.900065	10596.3335658	-385.530274	-674.120117	10390.2368412	10538.7992322	0.987755927482	0.991098263108	0.0122440725179	0.00890173689226	145200.0	0.163059494608	0.337080361189
2010-02-02	10310.980469	10396.480469	10287.740234	10371.089844	142000	10371.089844	0.0162733949206	-0.013469490702	-0.0339021334588	10294.2999673	10570.3378209	-141.600586	-363.940429	10337.3176097	10494.2952721	0.447570560011	0.716988180092	0.552429439989	0.283011819908	287200.0	0.23371640763	0.309400334998
2010-02-03	10428.120117	10436.519531	10356.030273	10404.330078	154200	10404.330078	0.00320508591672	0.00765594762659	-0.0461463504978	10307.4749348	10534.3842773	79.049805	-503.34961	10346.9668195	10477.8678817	0.371432789015	0.677982494346	0.628567210985	0.322017505654	441400.0	0.412820417287	0.39836223238
2010-02-04	10434.519531	10438.410156	10279.570312	10355.980469	164600	10355.980469	-0.00464706604246	0.0101345668596	-0.057012699055	10324.7916667	10489.6614816	103.900391	-626.11914	10363.3563219	10468.0628412	0.320681851899	0.734718245803	0.679318148101	0.265281754197	276800.0	0.56007278788	0.347559496546
2010-02-05	10162.339844	10166.299805	10036.330078	10057.089844	172000	10057.089844	-0.0288616443315	-0.0342990442615	-0.0735130674547	10265.2583008	10432.6621791	-357.200195	-797.990234	10361.2489354	10453.1185249	1.21881758306	1.09516638228	-0.218817583059	-0.0951663822789	104800.0	0.582056906625	0.307336146925
2010-02-08	10007.469727	10063.530273	9942.049805	9951.820312	137400	9951.820312	-0.0104671961405	-0.0241438282315	-0.0755306644249	10224.2216797	10374.5850306	-246.219727	-813.080079	10274.3463378	10400.3147008	1.21018143058	1.09938705735	-0.210181430576	-0.0993870573514	-32600.0	0.267985613864	0.27793775082
2010-02-09	9876.610352	9956.790039	9867.389648	9932.900391	135000	9932.900391	-0.00190115179001	-0.0266652248115	-0.0749352900059	10178.8684897	10317.1122349	-272.11914	-804.61914	10182.1960447	10340.5154489	1.01843300735	1.00968612363	-0.0184330073536	-0.00968612363112	-167600.0	0.313130085095	0.275622983397
