Date	Open_TATASTEEL.NS	High_TATASTEEL.NS	Low_TATASTEEL.NS	Close_TATASTEEL.NS	Volume_TATASTEEL.NS	AdjClose_TATASTEEL.NS	Return_TATASTEEL.NS	tata_RoC6	tata_RoC14	tata_MA6	tata_MA14	tata_MoM6	tata_MoM14	tata_EMA6	tata_EMA14	tata_WIILR6	tata_WIILR14	tata_K%6	tata_K%14	tata_OBV	tata_RSI6	tata_RSI14
2010-01-01	617.0	617.0	617.0	617.0	0	533.7018	-0.000127289624115	-0.00117282705251	-0.00291685390656	393.784584521	393.726423067	-1.08767173502	-2.63833728599	533.7018	533.7018	1.54229698109	1.1471528525	-0.54229698109	-0.147152852495	0.0	0.487849065112	0.485112702702
2010-01-04	622.0	636.5	616.9	633.75	5569700	548.1904	0.0271473695611	-0.00117282705251	-0.00291685390656	393.784584521	393.726423067	-1.08767173502	-2.63833728599	533.7018	533.7018	1.54229698109	1.1471528525	-0.54229698109	-0.147152852495	5569700.0	0.487849065112	0.485112702702
2010-01-05	638.55	654.8	638.55	649.1	7801900	561.4681	0.024220964103	-0.00117282705251	-0.00291685390656	393.784584521	393.726423067	-1.08767173502	-2.63833728599	537.8414	535.633613333	1.54229698109	1.1471528525	-0.54229698109	-0.147152852495	13371600.0	0.487849065112	0.485112702702
2010-01-06	660.0	660.0	637.0	642.05	7350400	555.3699	-0.0108611691385	-0.00117282705251	-0.00291685390656	393.784584521	393.726423067	-1.08767173502	-2.63833728599	544.591885714	539.078211556	1.54229698109	1.1471528525	-0.54229698109	-0.147152852495	6021200.0	0.487849065112	0.485112702702
2010-01-07	644.9	652.8	640.1	649.8	7635700	562.0736	0.0120706937844	-0.00117282705251	-0.00291685390656	393.784584521	393.726423067	-1.08767173502	-2.63833728599	547.671318367	541.250436681	1.54229698109	1.1471528525	-0.54229698109	-0.147152852495	13656900.0	0.487849065112	0.485112702702
2010-01-08	651.0	661.5	640.9	648.45	8199500	560.9059	-0.00207748593778	-0.00117282705251	-0.00291685390656	553.618283333	393.726423067	-1.08767173502	-2.63833728599	551.786255977	544.026858457	1.54229698109	1.1471528525	-0.54229698109	-0.147152852495	5457400.0	0.487849065112	0.485112702702
2010-01-11	650.0	655.9	645.2	648.5	6640700	560.9491	7.70182663439e-05	0.0510534159712	-0.00291685390656	558.1595	393.726423067	27.2473	-2.63833728599	554.391868555	546.27739733	2.2545044843	1.1471528525	-1.2545044843	-0.147152852495	12098100.0	0.825907671813	0.485112702702
2010-01-12	641.5	648.75	623.85	625.55	6832300	541.0975	-0.0353893071582	-0.012938752667	-0.00291685390656	556.97735	393.726423067	-7.0929	-2.63833728599	556.265363253	548.233624352	2.69960762332	1.1471528525	-1.69960762332	-0.147152852495	5265800.0	0.826087684991	0.485112702702
2010-01-13	615.0	641.8	615.0	639.25	10315000	552.9479	0.0219006740929	-0.0151748603349	-0.00291685390656	555.557316667	393.726423067	-8.5202	-2.63833728599	551.931688038	547.282141105	2.88318990704	1.1471528525	-1.88318990704	-0.147152852495	15580800.0	0.424771064505	0.485112702702
2010-01-14	644.75	651.2	641.55	647.7	6642400	560.2571	0.0132186052248	0.00879990075083	-0.00291685390656	556.37185	393.726423067	4.8872	-2.63833728599	552.222034313	548.037575625	2.17726666667	1.1471528525	-1.17726666667	-0.147152852495	22223200.0	0.406811360872	0.485112702702
2010-01-15	650.0	650.95	640.0	645.15	4292500	558.0514	-0.00393694252157	-0.0071560023456	-0.00291685390656	555.701483333	393.726423067	-4.0222	-2.63833728599	554.517767366	549.666845541	2.22470107527	1.1471528525	-1.22470107527	-0.147152852495	17930700.0	0.55207369933	0.485112702702
2010-01-18	642.0	642.0	630.75	637.5	5948900	551.4342	-0.0118576890946	-0.0168864331789	-0.00291685390656	554.122866667	393.726423067	-9.4717	-2.63833728599	555.52737669	550.784786136	2.36700645161	1.1471528525	-1.36700645161	-0.147152852495	11981800.0	0.452599474873	0.485112702702
2010-01-19	636.0	645.6	632.0	637.65	5015600	551.5639	0.00023520485309	-0.016730929776	-0.00291685390656	552.558666667	393.726423067	-9.3852	-2.63833728599	554.357897636	550.871374651	2.55100488998	1.1471528525	-1.55100488998	-0.147152852495	16997400.0	0.401083603294	0.485112702702
2010-01-20	638.0	657.4	638.0	653.7	7929000	565.4471	0.0251706103318	0.0450003927204	-0.00291685390656	556.616933333	554.532707143	24.3496	-2.63833728599	553.559612597	550.963711364	2.36886464088	1.1471528525	-1.36886464088	-0.147152852495	24926400.0	0.402163715135	0.485112702702
2010-01-21	649.5	659.5	642.25	648.0	10916900	560.5166	-0.00871964857544	0.0136879080289	0.0502430383409	557.878383333	556.44805	7.5687	26.8148	556.956037569	552.894829849	2.28498584906	2.17168602151	-1.28498584906	-1.17168602151	14009500.0	0.789907942298	0.653172318557
2010-01-22	641.1	641.1	617.0	624.55	8780300	540.2325	-0.0361882235067	-0.0357418049678	-0.0145166715798	554.54095	555.879628571	-20.0246	-7.9579	557.973341121	553.911065869	4.14843478261	2.60790322581	-3.14843478261	-1.60790322581	5229200.0	0.607891548232	0.623506078857
2010-01-25	620.0	625.7	606.9	609.9	5328600	527.5603	-0.0234569375223	-0.0546385153769	-0.0603913205398	549.4591	553.457642857	-30.4911	-33.9078	552.904529372	552.087257087	3.10446352941	2.88042365591	-2.10446352941	-1.88042365591	-99400.0	0.291629206	0.465204399395
