Date	Open_FTSE	High_FTSE	Low_FTSE	Close_FTSE	Volume_FTSE	AdjClose_FTSE	Return_FTSE
2010-01-04	5412.899902	5500.299805	5410.799805	5500.299805	750942000	5500.299805	
2010-01-05	5500.299805	5536.399902	5480.700195	5522.5	1149301200	5522.5	0.00403617907879
2010-01-06	5522.5	5536.5	5497.700195	5530.0	998295300	5530.0	0.00135808057945
2010-01-07	5530.0	5551.700195	5499.799805	5526.700195	1162933700	5526.700195	-0.000596709764919
2010-01-08	5526.700195	5549.299805	5494.799805	5534.200195	1006420600	5534.200195	0.00135704846208
2010-01-11	5534.200195	5600.5	5527.899902	5538.100098	901194900	5538.100098	0.00070469134881
2010-01-12	5538.100098	5549.600098	5459.899902	5498.700195	957401700	5498.700195	-0.00711433565714
2010-01-13	5498.700195	5509.700195	5450.899902	5473.5	849923000	5473.5	-0.00458293671346
2010-01-14	5473.5	5521.899902	5473.5	5498.200195	928036100	5498.200195	0.00451268749429
2010-01-15	5498.200195	5527.0	5450.399902	5455.399902	1743437800	5455.399902	-0.00778441880653
2010-01-18	5455.399902	5504.0	5454.299805	5494.399902	776795200	5494.399902	0.00714888013722
2010-01-19	5494.399902	5531.899902	5431.299805	5513.100098	1107801600	5513.100098	0.00340350107993
2010-01-20	5513.100098	5513.100098	5404.0	5420.799805	1199200900	5420.799805	-0.0167419947687
2010-01-21	5420.799805	5468.399902	5331.600098	5335.100098	1345500500	5335.100098	-0.0158094211339
2010-01-22	5335.100098	5345.600098	5253.0	5303.0	1645842400	5303.0	-0.00601677520765
2010-01-25	5303.0	5330.600098	5252.899902	5260.299805	1024448800	5260.299805	-0.00805208278333
2010-01-26	5260.299805	5276.899902	5215.700195	5276.899902	1015919800	5276.899902	0.00315573210946
2010-01-27	5276.899902	5276.899902	5192.600098	5217.5	1271716800	5217.5	-0.0112565906315
2010-01-28	5217.5	5280.399902	5145.700195	5145.700195	1294378400	5145.700195	-0.013761342597
2010-01-29	5145.700195	5230.200195	5145.700195	5188.5	1281845800	5188.5	0.00831758621336
2010-02-01	5188.5	5250.100098	5163.600098	5247.399902	934766100	5247.399902	0.0113520096367
2010-02-02	5247.399902	5289.100098	5208.200195	5283.299805	1105691000	5283.299805	0.00684146504373
2010-02-03	5283.299805	5305.399902	5237.700195	5253.200195	1140388100	5253.200195	-0.00569712322051
2010-02-04	5253.200195	5262.200195	5123.899902	5139.299805	1725801600	5139.299805	-0.021682095822
2010-02-05	5139.299805	5139.299805	5033.799805	5060.899902	1930760000	5060.899902	-0.0152549775212
2010-02-08	5060.899902	5118.100098	5033.0	5092.299805	1326821100	5092.299805	0.00620441099568
2010-02-09	5092.299805	5132.899902	5084.799805	5111.799805	1284674100	5111.799805	0.00382931106705
2010-02-10	5111.799805	5181.200195	5105.299805	5132.0	1191910000	5132.0	0.0039516795983
2010-02-11	5132.0	5201.799805	5114.5	5161.5	1565807200	5161.5	0.00574824629774
2010-02-12	5161.5	5207.700195	5117.399902	5142.5	1285903300	5142.5	-0.00368110045529
2010-02-15	5142.5	5194.299805	5142.5	5167.5	591532800	5167.5	0.00486144871172
2010-02-16	5167.5	5248.100098	5167.5	5244.100098	1098282000	5244.100098	0.0148234345428
2010-02-17	5244.100098	5304.5	5244.100098	5276.600098	1205018000	5276.600098	0.0061974408178
2010-02-18	5276.600098	5326.399902	5261.700195	5325.100098	966085200	5325.100098	0.00919152467483
2010-02-19	5325.100098	5366.100098	5281.399902	5358.200195	1469031000	5358.200195	0.00621586381304
2010-02-22	5358.200195	5387.0	5348.200195	5352.100098	961342400	5352.100098	-0.00113846007577
2010-02-23	5352.100098	5395.5	5302.0	5315.100098	1063966500	5315.100098	-0.00691317414146
2010-02-24	5315.100098	5357.899902	5298.200195	5342.899902	953221200	5342.899902	0.00523034439379
2010-02-25	5342.899902	5370.399902	5259.700195	5278.200195	1951587200	5278.200195	-0.0121094739162
2010-02-26	5278.200195	5367.799805	5278.200195	5354.5	1700847600	5354.5	0.0144556481719
2010-03-01	5354.5	5420.799805	5354.5	5405.899902	1423330600	5405.899902	0.00959938406947
2010-03-02	5405.899902	5485.0	5403.700195	5484.100098	1218498700	5484.100098	0.0144657129095
2010-03-03	5484.100098	5541.799805	5465.299805	5533.200195	1108893100	5533.200195	0.00895317301336
2010-03-04	5533.200195	5544.200195	5501.100098	5527.200195	1075263000	5527.200195	-0.00108436344042
2010-03-05	5527.200195	5605.399902	5527.200195	5599.799805	1001732100	5599.799805	0.013134970227
2010-03-08	5599.799805	5621.200195	5579.200195	5606.700195	837350700	5606.700195	0.00123225655207
2010-03-09	5606.700195	5618.399902	5563.100098	5602.299805	993738400	5602.299805	-0.000784844890391
2010-03-10	5602.299805	5645.299805	5585.399902	5640.600098	997893900	5640.600098	0.00683653041307
