Date	Open_N225	High_N225	Low_N225	Close_N225	Volume_N225	AdjClose_N225	Return_N225	nikkei_EMA6	nikkei_EMA14	nikkei_MoM6	nikkei_MoM14	nikkei_WIILR6	nikkei_WIILR14	nikkei_K%6	nikkei_K%14	nikkei_OBV	nikkei_RSI6	nikkei_RSI14	nikkei_RoC6	nikkei_RoC14	nikkei_MA6	nikkei_MA14
2010-01-04	10609.339844	10694.490234	10608.139648	10654.790039	104400	10654.790039	0.000444729233314	10654.790039	10654.790039	29.8327021072	69.7057998835	0.435645612683	0.411813427056	0.564354387317	0.588186572944	104400.0	0.544702368061	0.538615380888	0.00259127525463	0.00599649447311	13395.3929194	13387.4739892
2010-01-05	10719.44043	10791.040039	10655.570312	10681.830078	166200	10681.830078	0.00253782936135	10654.790039	10654.790039	29.8327021072	69.7057998835	0.435645612683	0.411813427056	0.564354387317	0.588186572944	270600.0	0.544702368061	0.538615380888	0.00259127525463	0.00599649447311	13395.3929194	13387.4739892
2010-01-06	10709.549805	10768.610352	10661.169922	10731.450195	181800	10731.450195	0.00464528237555	10662.5157644	10658.3953775	29.8327021072	69.7057998835	0.435645612683	0.411813427056	0.564354387317	0.588186572944	452400.0	0.544702368061	0.538615380888	0.00259127525463	0.00599649447311	13395.3929194	13387.4739892
2010-01-07	10742.75	10774.0	10636.669922	10681.660156	182600	10681.660156	-0.00463963752291	10682.211316	10668.1360199	29.8327021072	69.7057998835	0.435645612683	0.411813427056	0.564354387317	0.588186572944	269800.0	0.544702368061	0.538615380888	0.00259127525463	0.00599649447311	13395.3929194	13387.4739892
2010-01-08	10743.299805	10816.450195	10677.55957	10798.320312	211800	10798.320312	0.0109215378786	10682.0538417	10669.939238	29.8327021072	69.7057998835	0.435645612683	0.411813427056	0.564354387317	0.588186572944	481600.0	0.544702368061	0.538615380888	0.00259127525463	0.00599649447311	13395.3929194	13387.4739892
2010-01-12	10770.349609	10905.389648	10763.679688	10879.139648	192800	10879.139648	0.00748443588122	10715.2728332	10687.0567145	29.8327021072	69.7057998835	0.435645612683	0.411813427056	0.564354387317	0.588186572944	674400.0	0.544702368061	0.538615380888	0.00259127525463	0.00599649447311	10737.8650713	13387.4739892
2010-01-13	10795.480469	10866.620117	10729.860352	10735.030273	250000	10735.030273	-0.013246394445	10762.0919232	10712.6677723	80.240234	69.7057998835	0.573118166526	0.411813427056	0.426881833474	0.588186572944	424400.0	0.846293683481	0.538615380888	0.00753090710434	0.00599649447311	10751.2384437	13387.4739892
2010-01-14	10778.070312	10909.94043	10774.25	10907.679688	267400	10907.679688	0.0160828065324	10754.3600231	10715.6494391	225.84961	69.7057998835	-0.00852203905567	0.411813427056	1.00852203906	0.588186572944	691800.0	0.585719591071	0.538615380888	0.0211433441977	0.00599649447311	10788.8800453	13387.4739892
2010-01-15	10917.410156	10982.099609	10878.830078	10982.099609	253000	10982.099609	0.00682270869045	10798.1656417	10741.2534723	250.649414	69.7057998835	-0.264057689679	0.411813427056	1.26405768968	0.588186572944	944800.0	0.684021987195	0.538615380888	0.0233565277242	0.00599649447311	10830.6549477	13387.4739892
2010-01-18	10887.610352	10895.099609	10781.030273	10855.080078	186600	10855.080078	-0.0115660516224	10850.7182038	10773.3662905	173.419922	69.7057998835	0.36771457631	0.411813427056	0.63228542369	0.588186572944	758200.0	0.696295797773	0.538615380888	0.0162352967111	0.00599649447311	10859.558268	13387.4739892
2010-01-19	10866.830078	10866.830078	10749.469727	10764.900391	174600	10764.900391	-0.00830760218736	10851.9644535	10784.2614622	-33.419921	69.7057998835	0.713204144562	0.411813427056	0.286795855438	0.588186572944	583600.0	0.621157829678	0.538615380888	-0.00309491847198	0.00599649447311	10853.9882812	13387.4739892
