Date	Open_FCHI	High_FCHI	Low_FCHI	Close_FCHI	Volume_FCHI	AdjClose_FCHI	Return_FCHI	paris_EMA6	paris_EMA14	paris_MoM6	paris_MoM14	paris_WIILR6	paris_WIILR14	paris_K%6	paris_K%14	paris_OBV	paris_RSI6	paris_RSI14	paris_RoC6	paris_RoC14	paris_MA6	paris_MA14
2010-01-04	3952.209961	4013.969971	3950.610107	4013.969971	113396000	4013.969971	0.00019878012618	4013.969971	4013.969971	2.74821031823	6.54907898652	0.441442495353	0.420860055688	0.558557504647	0.579139944312	113396000.0	0.533933796588	0.528780779586	0.00110653041184	0.00246686232796	4029.37888846	4027.60806989
2010-01-05	4012.429932	4028.340088	3993.330078	4012.909912	129518600	4012.909912	-0.000264092409176	4013.969971	4013.969971	2.74821031823	6.54907898652	0.441442495353	0.420860055688	0.558557504647	0.579139944312	-16122600.0	0.533933796588	0.528780779586	0.00110653041184	0.00246686232796	4029.37888846	4027.60806989
2010-01-06	4014.449951	4022.939941	3996.800049	4017.669922	110087000	4017.669922	0.00118617414903	4013.667097	4013.8286298	2.74821031823	6.54907898652	0.441442495353	0.420860055688	0.558557504647	0.579139944312	93964400.0	0.533933796588	0.528780779586	0.00110653041184	0.00246686232796	4029.37888846	4027.60806989
2010-01-07	4005.959961	4032.23999	3983.899902	4024.800049	118430400	4024.800049	0.00177469208233	4014.81076129	4014.34080209	2.74821031823	6.54907898652	0.441442495353	0.420860055688	0.558557504647	0.579139944312	212394800.0	0.533933796588	0.528780779586	0.00110653041184	0.00246686232796	4029.37888846	4027.60806989
2010-01-08	4042.639893	4051.409912	4013.340088	4045.139893	131783200	4045.139893	0.00505362844175	4017.66484349	4015.73536835	2.74821031823	6.54907898652	0.441442495353	0.420860055688	0.558557504647	0.579139944312	344178000.0	0.533933796588	0.528780779586	0.00110653041184	0.00246686232796	4029.37888846	4027.60806989
2010-01-11	4071.399902	4088.179932	4039.330078	4043.090088	110068800	4043.090088	-0.000506732784087	4025.51485764	4019.65597163	2.74821031823	6.54907898652	0.441442495353	0.420860055688	0.558557504647	0.579139944312	234109200.0	0.533933796588	0.528780779586	0.00110653041184	0.00246686232796	4026.26330583	4027.60806989
2010-01-12	4044.189941	4049.47998	3980.199951	4000.050049	124775800	4000.050049	-0.0106453326696	4030.53635203	4022.78052048	-13.919922	6.54907898652	0.640619285516	0.420860055688	0.359380714484	0.579139944312	109333400.0	0.912001198647	0.528780779586	-0.00346786899269	0.00246686232796	4023.94331883	4027.60806989
2010-01-13	3979.939941	4007.860107	3979.149902	4000.860107	117700800	4000.860107	0.00020251196612	4021.82597973	4019.74979095	-12.049805	6.54907898652	0.808666793524	0.420860055688	0.191333206476	0.579139944312	227034200.0	0.411202203361	0.528780779586	-0.00300275990846	0.00246686232796	4021.935018	4027.60806989
2010-01-14	4029.199951	4029.709961	3993.5	4015.77002	108974600	4015.77002	0.00372667691477	4015.83573038	4017.23116643	-1.899902	6.54907898652	0.664128148915	0.420860055688	0.335871851085	0.579139944312	336008800.0	0.422886067806	0.528780779586	-0.000472886532962	0.00246686232796	4021.61836767	4027.60806989
2010-01-15	4030.939941	4044.080078	3949.899902	3954.379883	162295200	3954.379883	-0.0152872641347	4015.81695599	4017.0363469	-70.420166	6.54907898652	1.22718529014	0.420860055688	-0.227185290144	0.579139944312	173713600.0	0.489239314649	0.528780779586	-0.0174965625976	0.00246686232796	4009.88167333	4027.60806989
2010-01-18	3971.169922	3982.790039	3954.280029	3977.459961	86949800	3977.459961	0.00583658593329	3998.26350656	4008.68215171	-67.679932	6.54907898652	0.800693860133	0.420860055688	0.199306139867	0.579139944312	260663400.0	0.252980683374	0.528780779586	-0.0167311721696	0.00246686232796	3998.60168467	4027.60806989
2010-01-19	3968.72998	4019.879883	3930.909912	4009.669922	115690200	4009.669922	0.00809812325349	3992.3196364	4004.51919295	-33.420166	6.54907898652	0.567761013647	0.420860055688	0.432238986353	0.579139944312	376353600.0	0.267070766712	0.528780779586	-0.00826599587756	0.00246686232796	3993.031657	4027.60806989
