Date	Open_DJI	High_DJI	Low_DJI	Close_DJI	Volume_DJI	AdjClose_DJI	Return_DJI	djia_EMA6	djia_EMA14	djia_MoM6	djia_MoM14	djia_WIILR6	djia_WIILR14	djia_K%6	djia_K%14	djia_OBV	djia_RSI6	djia_RSI14	djia_RoC6	djia_RoC14	djia_MA6	djia_MA14
2010-01-04	10430.69043	10604.969727	10430.69043	10583.959961	179780000	10583.959961	0.000396014617504	10583.959961	10583.959961	31.6600733861	74.4112585132	0.389186763469	0.367461103768	0.610813236531	0.632538896232	179780000.0	0.560897456458	0.55693434709	0.00236621207011	0.00552240245659	14699.513104	14696.9157049
2010-01-05	10584.55957	10584.55957	10522.519531	10572.019531	188540000	10572.019531	-0.00112816280901	10583.959961	10583.959961	31.6600733861	74.4112585132	0.389186763469	0.367461103768	0.610813236531	0.632538896232	-8760000.0	0.560897456458	0.55693434709	0.00236621207011	0.00552240245659	14699.513104	14696.9157049
2010-01-06	10564.719727	10594.990234	10546.549805	10573.679688	186040000	10573.679688	0.00015703309998	10580.5484096	10582.3679037	31.6600733861	74.4112585132	0.389186763469	0.367461103768	0.610813236531	0.632538896232	177280000.0	0.560897456458	0.55693434709	0.00236621207011	0.00552240245659	14699.513104	14696.9157049
2010-01-07	10571.110352	10612.370117	10505.209961	10606.860352	217390000	10606.860352	0.00313804323368	10578.5859177	10581.2094749	31.6600733861	74.4112585132	0.389186763469	0.367461103768	0.610813236531	0.632538896232	394670000.0	0.560897456458	0.55693434709	0.00236621207011	0.00552240245659	14699.513104	14696.9157049
2010-01-08	10606.400391	10619.400391	10554.330078	10618.19043	172710000	10618.19043	0.00106818395114	10586.6643275	10584.6295919	31.6600733861	74.4112585132	0.389186763469	0.367461103768	0.610813236531	0.632538896232	567380000.0	0.560897456458	0.55693434709	0.00236621207011	0.00552240245659	14699.513104	14696.9157049
2010-01-11	10620.30957	10676.230469	10591.589844	10663.990234	182050000	10663.990234	0.00431333420717	10595.6717854	10589.1043703	31.6600733861	74.4112585132	0.389186763469	0.367461103768	0.610813236531	0.632538896232	749430000.0	0.560897456458	0.55693434709	0.00236621207011	0.00552240245659	10603.1166993	14696.9157049
2010-01-12	10662.860352	10663.080078	10568.839844	10627.259766	256050000	10627.259766	-0.00344434561492	10615.1913421	10599.0891521	43.299805	74.4112585132	0.199440804846	0.367461103768	0.800559195154	0.632538896232	493380000.0	0.885089983573	0.55693434709	0.0040910779292	0.00552240245659	10610.3333335	14696.9157049
2010-01-13	10628.089844	10709.259766	10614.490234	10680.769531	202810000	10680.769531	0.00503514228298	10618.6394632	10602.845234	108.75	74.4112585132	-0.0265410391601	0.367461103768	1.02654103916	0.632538896232	696190000.0	0.653936689757	0.55693434709	0.0102865871257	0.00552240245659	10628.4583335	14696.9157049
2010-01-14	10680.160156	10723.769531	10666.860352	10710.549805	201320000	10710.549805	0.00278821426804	10636.3909112	10613.2351402	136.870117	74.4112585132	-0.00632217707829	0.367461103768	1.00632217708	0.632538896232	897510000.0	0.798417873228	0.55693434709	0.0129444168008	0.00552240245659	10651.2700197	14696.9157049
2010-01-15	10706.990234	10709.94043	10561.05957	10609.650391	362930000	10609.650391	-0.00942056344791	10657.5791665	10626.2104289	2.790039	74.4112585132	0.522142041184	0.367461103768	0.477857958816	0.632538896232	534580000.0	0.82536830641	0.55693434709	0.000263040985495	0.00552240245659	10651.7350262	14696.9157049
